case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage2-round-calibrated-p4-0034-4e261939377e25d1,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,nosignal,normal,True,True,-462.1276620000008,-339.12766071005626,0,0,-123,0,-1695.6383035502804,0,-41,-41,-1.28994452097686e-06
stage2-round-calibrated-p4-0036-a1334caf0b9978af,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,nosignal,normal,True,True,-166.44249499999933,-103.4424938872362,0,0,-63,0,-517.2124694361773,0,-21,-21,-1.1127631296403706e-06
stage2-round-calibrated-p4-0037-a1cf3fda2102107e,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,nosignal,normal,True,True,-47.84895900000083,-59.84895836699707,0,0,12,0,-299.24479183498624,0,4,4,-6.330037649604492e-07
stage2-round-calibrated-p4-0038-6cf6563b5452cde4,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,nosignal,normal,True,True,63.62055400000099,0.6205566694388835,0,0,63,0,3.1027833471962367,0,21,21,-2.6694378902902827e-06
stage2-round-calibrated-p4-0054-e53da62d8c07d18d,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,nosignal,normal,True,True,268.83234099999936,265.8323397588483,0,0,3,0,1329.1616987942398,0,1,1,1.2411510397214442e-06
stage2-round-calibrated-p4-0065-2ccce9100005d598,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,nosignal,normal,True,True,-207.68588799999998,-162.68588887075293,0,0,-45,0,-813.4294443537656,0,-15,-15,8.707529559615068e-07
stage2-round-calibrated-p4-0071-a750c99e66204754,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,nosignal,normal,True,True,148.0338439999996,127.03384165969692,0,0,21,0,635.169208298481,0,7,7,2.3403026716550812e-06
stage2-round-calibrated-p4-0072-5593291f89f80fd8,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,nosignal,normal,True,True,306.0185569999994,285.0185572112696,0,0,21,0,1425.092786056346,0,7,7,-2.112701622536406e-07
stage2-round-calibrated-p4-0077-7305a2bec3ed5e63,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,nosignal,normal,True,True,440.34379699999954,335.3437958277518,0,0,105,0,1676.7189791387573,0,35,35,1.1722477211151272e-06
stage2-round-stress-p4-0000-f846284b7f552da2,4,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,confirmation,nosignal,normal,True,True,188.786012999999,140.78601118950792,0,0,48,0,703.9300559475378,0,16,16,1.8104910850524902e-06
stage2-round-stress-p4-0004-1b1c93f106eb88b0,4,stress,stress_design,assumption__radius_max__noise_correlated__scale_75,confirmation,nosignal,normal,True,True,-219.71713400000044,-234.7171333618062,0,0,15,0,-1173.5856668090273,0,5,5,-6.381942512234673e-07
stage2-round-stress-p4-0008-f2a689649ee697b7,4,stress,stress_design,assumption__radius_mixed__noise_extreme__scale_75,confirmation,nosignal,normal,True,True,-2173.3271139999997,-1498.3271141747828,0,0,-675,0,-7491.635570873914,0,-225,-225,1.7478305380791426e-07
stage2-round-stress-p4-0009-16539b1379e2e9ae,4,stress,stress_design,assumption__radius_min__noise_deterministic__scale_150,confirmation,nosignal,normal,True,True,17.11028500000066,-30.8897138654429,0,0,48,0,-154.4485693272145,0,16,16,-1.1345564416842535e-06
stage2-round-stress-p4-0011-21bece76969193a7,4,stress,stress_design,assumption__radius_min__noise_extreme__scale_150,confirmation,nosignal,normal,True,True,234.08063000000038,192.08062798532774,0,0,42,0,960.4031399266387,0,14,14,2.0146726456005126e-06
stage2-round-stress-p4-0012-83256edc8e0a20ff,4,stress,stress_design,assumption__radius_max__noise_deterministic__scale_150,confirmation,nosignal,normal,True,True,-192.3542350000007,-147.35423707178597,0,0,-45,0,-736.771185358928,0,-15,-15,2.0717852748930454e-06
stage2-round-stress-p4-0036-150250eb7ac7629a,4,stress,stress_design,assumption__radius_min__noise_deterministic__scale_150,confirmation,nosignal,normal,True,True,-382.56020499999977,-277.56020721251207,0,0,-105,0,-1387.801036062563,0,-35,-35,2.2125122995930724e-06
stage2-round-stress-p4-0038-df995cec88525ec6,4,stress,stress_design,assumption__radius_min__noise_extreme__scale_150,confirmation,nosignal,normal,True,True,-2434.7882400000017,-1738.7882384466484,0,0,-696,0,-8693.941192233237,0,-232,-232,-1.5533532859990373e-06
