case_id,problem,partition,pool,composition_model,mechanism_id,measurement_reason,delta_measures,delta_direction,delta_near,delta_no_signal,delta_whole_case_clear_attempts,delta_whole_case_fallback_targets,both_phase_nonempty,delta_direction_rate,delta_near_rate,delta_no_signal_rate
stage2-round-calibrated-p3-0020-fdc243e8cb64705f,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0020-fdc243e8cb64705f,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0022-9f786e0e8d5e6a76,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0022-9f786e0e8d5e6a76,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0023-050fd490bc4e2f47,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0023-050fd490bc4e2f47,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0024-506dd6491820ee03,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0024-506dd6491820ee03,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0027-55417bf1d40aaafd,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0027-55417bf1d40aaafd,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0028-8a94551edcd81ed5,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0028-8a94551edcd81ed5,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0029-f4f58c99b9b932e9,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0029-f4f58c99b9b932e9,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0030-54b8ae85d32954c5,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0030-54b8ae85d32954c5,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0032-2c2f40b17e985083,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0032-2c2f40b17e985083,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0033-9d18c46e303c8d07,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0033-9d18c46e303c8d07,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0034-91a4ebbd258406c8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0034-91a4ebbd258406c8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0035-2f07ac40ecf65d2b,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0035-2f07ac40ecf65d2b,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0036-8692b31cd16901d8,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0036-8692b31cd16901d8,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0037-26b85af965222479,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0037-26b85af965222479,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0038-e817883564d7649b,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0038-e817883564d7649b,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0039-693c319d1edeb40c,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0039-693c319d1edeb40c,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0040-1714fd2317fb5228,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0040-1714fd2317fb5228,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0041-98507249a22564f6,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0041-98507249a22564f6,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0042-a86ce10a830e5bdd,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0042-a86ce10a830e5bdd,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0043-e874f0f6d1afaa46,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0043-e874f0f6d1afaa46,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0044-9640ad08c5d2d0b0,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0044-9640ad08c5d2d0b0,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0045-15d42be0de4e3ac8,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0045-15d42be0de4e3ac8,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0047-d29e8e52c12e0dda,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0047-d29e8e52c12e0dda,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0049-e120ed303609ce0d,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0049-e120ed303609ce0d,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0050-533c2104e7b1315c,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0050-533c2104e7b1315c,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0051-7bf4361b04ec9a0e,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0051-7bf4361b04ec9a0e,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0052-7ecadb622af816a4,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0052-7ecadb622af816a4,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0053-aa2e579eeb7f59c5,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0053-aa2e579eeb7f59c5,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0054-4ddcd73762918e1d,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0054-4ddcd73762918e1d,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0055-e13284d17d0f67f8,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0055-e13284d17d0f67f8,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0056-9ce54b04ff8a4bf5,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0056-9ce54b04ff8a4bf5,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0057-8b06b420dbcd4cc1,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0057-8b06b420dbcd4cc1,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0058-2d5755681cc25c24,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0058-2d5755681cc25c24,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0059-eff278eed657f0c5,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0059-eff278eed657f0c5,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0060-19e812589d447ccb,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0060-19e812589d447ccb,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0063-6c74d1b8ecce6e79,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0063-6c74d1b8ecce6e79,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0064-92bf40d853f9b8b4,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0064-92bf40d853f9b8b4,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0065-638b3a141f21d765,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0065-638b3a141f21d765,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0066-cae7d5c1332fe036,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0066-cae7d5c1332fe036,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0068-a7d1f99f3ecc29f2,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0068-a7d1f99f3ecc29f2,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0070-3502a6d3d8325866,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0070-3502a6d3d8325866,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0071-e73ace7562b889c3,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0071-e73ace7562b889c3,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
