partition,problem,pool,composition_model,measurement_reason,mechanism_id,pairs,both_phase_nonempty_pairs,mean_delta_measures,mean_delta_direction,mean_delta_near,mean_delta_no_signal,mean_delta_whole_case_clear_attempts,mean_delta_whole_case_fallback_targets,mean_delta_direction_rate,mean_delta_near_rate,mean_delta_no_signal_rate
confirmation,4,calibrated,broad_joint,local_active_sensing,mixed_extreme150_after_observable_screen,2,2,0.0,1.0,0.0,-1.0,-14.5,0.5,0.0625,0.0,-0.0625
confirmation,4,calibrated,smoothed_joint,global_coverage,__design_mixture__,8,8,0.0,0.0,0.0,0.0,-15.25,0.5,0.0,0.0,0.0
confirmation,4,calibrated,smoothed_joint,global_coverage,mixed_correlated150_after_observable_screen,5,5,0.0,0.0,0.0,0.0,-20.6,0.2,0.0,0.0,0.0
confirmation,4,calibrated,smoothed_joint,global_coverage,mixed_extreme150_after_observable_screen,3,3,0.0,0.0,0.0,0.0,-6.333333333333333,1.0,0.0,0.0,0.0
confirmation,4,calibrated,smoothed_joint,local_active_sensing,__design_mixture__,8,8,0.0,1.125,0.0,-1.125,-15.25,0.5,0.10384615384615384,0.0,-0.10384615384615385
confirmation,4,calibrated,smoothed_joint,local_active_sensing,mixed_correlated150_after_observable_screen,5,5,0.0,1.4,0.0,-1.4,-20.6,0.2,0.12615384615384614,0.0,-0.12615384615384614
confirmation,4,calibrated,smoothed_joint,local_active_sensing,mixed_extreme150_after_observable_screen,3,3,0.0,0.6666666666666666,0.0,-0.6666666666666666,-6.333333333333333,1.0,0.06666666666666665,0.0,-0.06666666666666667
confirmation,4,stress,stress_design,global_coverage,__design_mixture__,8,8,0.0,0.0,0.0,0.0,-57.0,0.75,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_max__noise_correlated__scale_75,1,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_max__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,-15.0,-1.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_min__noise_deterministic__scale_150,2,2,0.0,0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_min__noise_deterministic__scale_75,1,1,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_min__noise_extreme__scale_150,2,2,0.0,0.0,0.0,0.0,-109.0,3.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,global_coverage,assumption__radius_mixed__noise_extreme__scale_75,1,1,0.0,0.0,0.0,0.0,-225.0,1.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,local_active_sensing,__design_mixture__,8,8,0.0,2.0,0.0,-2.0,-57.0,0.75,0.1359375,0.0,-0.13593750000000002
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_max__noise_correlated__scale_75,1,1,0.0,2.0,0.0,-2.0,5.0,0.0,0.16666666666666663,0.0,-0.16666666666666669
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_max__noise_deterministic__scale_150,1,1,0.0,1.0,0.0,-1.0,-15.0,-1.0,0.09999999999999998,0.0,-0.1
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_min__noise_deterministic__scale_150,2,2,0.0,1.0,0.0,-1.0,-9.5,0.0,0.06666666666666665,0.0,-0.06666666666666668
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_min__noise_deterministic__scale_75,1,1,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_min__noise_extreme__scale_150,2,2,0.0,3.0,0.0,-3.0,-109.0,3.0,0.1875,0.0,-0.1875
confirmation,4,stress,stress_design,local_active_sensing,assumption__radius_mixed__noise_extreme__scale_75,1,1,0.0,5.0,0.0,-5.0,-225.0,1.0,0.3125,0.0,-0.3125
development,3,broad,broad_joint,global_coverage,__design_mixture__,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_correlated__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_correlated__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
