case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0015-b78f659144bd0cc8,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,development,scan_then_clear,joint,True,True,721.4699369999998,721.4699340537691,0,-3,3,0,3607.3496702688462,0,1,1,2.9462307793437503e-06
stage3-round-broad-p3-0016-682edc99dac37223,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_150,development,immediate,joint,True,True,2822.9737999999998,2819.9738046620128,0,-18,21,0,14099.869023310064,0,7,7,-4.662012997869169e-06
stage3-round-broad-p3-0016-682edc99dac37223,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_150,development,scan_then_clear,joint,True,True,613.6658239999997,647.6658223283116,0,-4,-30,0,3238.3291116415567,0,-10,-10,1.671688096394064e-06
stage3-round-broad-p3-0017-0ac4c1486cd45cce,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_150,development,immediate,joint,True,True,1756.4866010000005,1708.4866030664466,0,-15,63,0,8542.433015332233,0,21,21,-2.0664460862462875e-06
stage3-round-broad-p3-0017-0ac4c1486cd45cce,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_150,development,scan_then_clear,joint,True,True,555.0821620000006,513.0821595737038,0,-3,45,0,2565.4107978685206,0,15,15,2.4262967599497642e-06
stage3-round-broad-p3-0018-1a45d0d11ecea45a,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_300,development,immediate,joint,True,True,2252.163861,2256.1638677658493,0,-19,15,0,11280.819338829246,0,5,5,-6.765849320800044e-06
stage3-round-broad-p3-0018-1a45d0d11ecea45a,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_300,development,scan_then_clear,joint,True,True,634.8821820000003,629.8821809769597,0,-4,9,0,3149.4109048847968,0,3,3,1.0230405678157695e-06
stage3-round-broad-p3-0019-a41e9fb762e3d43f,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,development,immediate,joint,True,True,508.8393699999997,524.8393731652095,0,-13,-3,0,2624.1968658260485,0,-1,-1,-3.1652098186896183e-06
stage3-round-broad-p3-0019-a41e9fb762e3d43f,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,development,scan_then_clear,joint,True,True,501.62033299999985,516.6203343311263,0,-3,-12,0,2583.1016716556296,0,-4,-4,-1.3311264410731383e-06
stage3-round-broad-p3-0020-3566a359d460da43,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_300,development,immediate,joint,True,True,1421.2836429999998,1384.2836465180535,-5,-21,63,0,6921.418232590266,-1,21,21,-3.5180537452106364e-06
stage3-round-broad-p3-0020-3566a359d460da43,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_300,development,scan_then_clear,joint,True,True,-138.84116900000026,-107.84116883162005,0,-4,-27,0,-539.2058441580994,0,-9,-9,-1.6838021110743284e-07
stage3-round-broad-p3-0022-8fdd88eb07094d6e,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,development,immediate,joint,True,True,2973.5094450000006,2887.5094468799216,0,-19,105,0,14437.547234399608,0,35,35,-1.8799210010911338e-06
stage3-round-broad-p3-0022-8fdd88eb07094d6e,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,development,scan_then_clear,joint,True,True,983.7016050000002,1064.7016096970083,0,-6,-75,0,5323.5080484850405,0,-25,-25,-4.697008080256637e-06
