case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage2-round-calibrated-p4-0034-4e261939377e25d1,4,calibrated,smoothed_joint,confirmation,extreme,nosignal,mixed_extreme150_after_observable_screen,unresolved,True,True,normal,True,0,-462.1276620000008,-462.1276620000008,4.297860282390744,10752.505471,10290.377809
stage2-round-calibrated-p4-0036-a1334caf0b9978af,4,calibrated,smoothed_joint,confirmation,correlated,nosignal,mixed_correlated150_after_observable_screen,unresolved,True,True,normal,True,0,-166.44249499999933,-166.44249499999933,1.3592269974713338,12245.37883,12078.936335
stage2-round-calibrated-p4-0037-a1cf3fda2102107e,4,calibrated,broad_joint,confirmation,correlated,nosignal,mixed_correlated150_after_observable_screen,unresolved,True,True,normal,True,0,-47.84895900000083,-47.84895900000083,0.4923779030091775,9717.933869,9670.08491
stage2-round-calibrated-p4-0038-6cf6563b5452cde4,4,calibrated,smoothed_joint,confirmation,extreme,nosignal,mixed_extreme150_after_observable_screen,unresolved,True,True,normal,True,0,63.62055400000099,63.62055400000099,-0.6684891078967264,9517.066658,9580.687212
stage2-round-calibrated-p4-0054-e53da62d8c07d18d,4,calibrated,smoothed_joint,confirmation,extreme,nosignal,mixed_extreme150_after_observable_screen,unresolved,True,True,normal,True,0,268.83234099999936,268.83234099999936,-2.5335522015493184,10610.886203,10879.718544
stage2-round-calibrated-p4-0065-2ccce9100005d598,4,calibrated,broad_joint,confirmation,correlated,nosignal,mixed_correlated150_after_observable_screen,unresolved,True,True,normal,True,0,-207.68588799999998,-207.68588799999998,2.143321551877563,9689.908069,9482.222181
stage2-round-calibrated-p4-0071-a750c99e66204754,4,calibrated,broad_joint,confirmation,extreme,nosignal,mixed_extreme150_after_observable_screen,unresolved,True,True,normal,True,0,148.0338439999996,148.0338439999996,-1.3848999539403535,10689.136322,10837.170166
stage2-round-calibrated-p4-0072-5593291f89f80fd8,4,calibrated,smoothed_joint,confirmation,correlated,nosignal,mixed_correlated150_after_observable_screen,unresolved,True,True,normal,True,0,306.0185569999994,306.0185569999994,-2.7658376858569738,11064.226891,11370.245448
stage2-round-calibrated-p4-0077-7305a2bec3ed5e63,4,calibrated,broad_joint,confirmation,correlated,nosignal,mixed_correlated150_after_observable_screen,unresolved,True,True,normal,True,0,440.34379699999954,440.34379699999954,-4.033705095213324,10916.608592,11356.952389
stage2-round-stress-p4-0000-f846284b7f552da2,4,stress,stress_design,confirmation,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,188.786012999999,188.786012999999,-1.668730641492031,11313.150745,11501.936758
stage2-round-stress-p4-0004-1b1c93f106eb88b0,4,stress,stress_design,confirmation,correlated,nosignal,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-219.71713400000044,-219.71713400000044,1.8554207372212055,11841.903542,11622.186408
stage2-round-stress-p4-0008-f2a689649ee697b7,4,stress,stress_design,confirmation,extreme,nosignal,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-2173.3271139999997,-2173.3271139999997,17.65436998797781,12310.420114,10137.093
stage2-round-stress-p4-0009-16539b1379e2e9ae,4,stress,stress_design,confirmation,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,17.11028500000066,17.11028500000066,-0.16562977061757814,10330.440558,10347.550843
stage2-round-stress-p4-0011-21bece76969193a7,4,stress,stress_design,confirmation,extreme,nosignal,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,normal,True,0,234.08063000000038,234.08063000000038,-2.596760730641243,9014.331865,9248.412495
stage2-round-stress-p4-0012-83256edc8e0a20ff,4,stress,stress_design,confirmation,deterministic,nosignal,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-192.3542350000007,-192.3542350000007,1.7857083600635064,10771.872905,10579.51867
stage2-round-stress-p4-0036-150250eb7ac7629a,4,stress,stress_design,confirmation,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-382.56020499999977,-382.56020499999977,3.4717259358680566,11019.308899,10636.748694
stage2-round-stress-p4-0038-df995cec88525ec6,4,stress,stress_design,confirmation,extreme,nosignal,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-2434.7882400000017,-2434.7882400000017,19.319299099527417,12602.880816,10168.092576
