model_candidate,problem,protocol,n_cases,complete_cases,hull_invariant_violations,total_virtual_time_s_mean,failure_penalized_time_s_mean,program_real_time_s_mean,model_comparison_status
broad_joint__radius_mixed__noise_deterministic,3,baseline,60,60,0,5024.8535757,5024.8535757,2.6223918049945496,not_yet_checked_against_official_observables
broad_joint__radius_mixed__noise_deterministic,3,survey,20,20,0,13503.952754499998,13503.952754499998,1.7177334299951326,not_yet_checked_against_official_observables
broad_joint__radius_mixed__noise_deterministic,4,baseline,60,60,0,11274.481451733333,11274.481451733333,4.236454876677211,not_yet_checked_against_official_observables
broad_joint__radius_mixed__noise_deterministic,4,survey,20,20,0,17650.23231595,17650.23231595,2.0433631000109016,not_yet_checked_against_official_observables
