case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-calibrated-p3-0114-981941ede07ab246,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-426.07384999999977,-371.0738455219507,-130,0,75,0,-1855.36922760975,-26,25,25,-4.478049049794208e-06
round-calibrated-p3-0116-4bc96b4a1e52a4c3,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-969.7630910000007,-794.7630845756921,-190,0,15,0,-3973.8154228784624,-38,5,5,-6.4243085944326594e-06
round-calibrated-p3-0120-d9aab0b02e36d34e,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-669.5681910000003,-557.5681867532362,-130,0,18,0,-2787.8409337661815,-26,6,6,-4.246764092386002e-06
round-calibrated-p3-0121-0a355dd5d5bdb1e3,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-599.887041,-489.8870342193586,-170,0,60,0,-2449.435171096793,-34,20,20,-6.7806413426296785e-06
round-calibrated-p3-0124-74623875279ba88d,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-177.28473099999974,-132.28472886415148,-75,0,30,0,-661.4236443207556,-15,10,10,-2.135848262696527e-06
round-calibrated-p3-0130-610ee988360eaea9,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-596.4797410000001,-512.479735846955,-135,0,51,0,-2562.398679234775,-27,17,17,-5.153045094630215e-06
round-calibrated-p3-0147-1faaf8137b207574,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-237.75712699999985,-186.75712712108225,-60,0,9,0,-933.7856356054108,-12,3,3,1.210823938890826e-07
round-calibrated-p3-0149-40f6649a3d8c9e87,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-577.7076820000007,-474.70767960282774,-115,0,12,0,-2373.5383980141396,-23,4,4,-2.3971729206095915e-06
round-calibrated-p3-0150-6507e9c43f04f234,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-112.9312130000003,-95.9312118746675,-35,0,18,0,-479.6560593733375,-7,6,6,-1.1253328011662234e-06
round-calibrated-p3-0151-7d4e1b1a720a359f,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-242.44133799999963,-197.44133499274812,-90,0,45,0,-987.2066749637379,-18,15,15,-3.0072515073698014e-06
round-calibrated-p3-0152-a1667fd06200650b,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-573.9815209999997,-444.98151608031685,-150,0,21,0,-2224.9075804015847,-30,7,7,-4.919682851323159e-06
round-calibrated-p3-0162-e58e1c47ee1323af,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-196.03947199999948,-123.03946797870549,-130,0,57,0,-615.1973398935297,-26,19,19,-4.02129398935358e-06
round-calibrated-p3-0163-7aa109c20dbc4876,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-798.8904549999997,-669.8904518036506,-195,0,66,0,-3349.4522590182532,-39,22,22,-3.1963490982889198e-06
round-calibrated-p3-0166-75492d81c1f002df,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-252.03222300000016,-191.0322177064918,-100,0,39,0,-955.161088532459,-20,13,13,-5.293508365866728e-06
round-calibrated-p3-0173-a972156a0934a45c,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-586.4136939999999,-462.4136895609263,-130,0,6,0,-2312.0684478046296,-26,2,2,-4.439073563844431e-06
round-calibrated-p3-0174-084d9665389efe74,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-705.0236420000001,-569.0236353426108,-175,0,39,0,-2845.1181767130547,-35,13,13,-6.657389349129517e-06
round-calibrated-p3-0178-3b2c4fab315890aa,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-456.92988700000024,-394.92988112515377,-155,0,93,0,-1974.6494056257688,-31,31,31,-5.874846465303563e-06
round-calibrated-p3-0186-bad9967bb12155d7,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-437.4201800000001,-362.42017805894557,-135,0,60,0,-1812.100890294725,-27,20,20,-1.9410545064602047e-06
