status,error,problem,config,walk_distance_m,switches,measures,clear_attempts,clear_successes,fallback_targets,certified_clears,initial_hull_invariant,total_virtual_time_s,independently_accounted_time_s,timing_residual_s,average_clear_time_s,program_real_time_s,source_total,clear_fraction,case_id,pool,composition_model,mechanism_id,mechanism_status,partition,layout,radius_mode,error_mode,n,n_directed,scenario_sha256,stage,manifest_sha256,variant,arm_sha256,solver_class,nosignal_config,evaluation_complete,environment,hull_invariant_violations,error_field_sha256,policy_core_sha256,dependency_sha256,failure_penalized_time_s,nosignal_choices,nosignal_changed_choices,nosignal_baseline_fallbacks,nosignal_convex_mixed_choices,sensing_variant
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19264.03984869285,94,97,22,14,4,10,True,4525.807969,4525.80796973857,-7.385697244899347e-07,323.2719977857143,1.4652420999482274,14,1.0,stage3-round-broad-p3-0002-c440580eaee1a34b,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,confirmation,random,min,extreme,14,0,bd6a0312eb9a03b9126f5e5402ad0c5f16efd207bab14002c373ee6c19a132fc,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],e50fbda34ab240b397e66dec39932b3b08436e050e3a4163f12b66a32fea5776,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4525.807969,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18482.559884768318,88,89,23,13,6,7,True,4324.511976,4324.511976953663,-9.536634024698287e-07,332.65476738461535,1.3310719999717548,13,1.0,stage3-round-broad-p3-0008-132ec9ed8e945a0d,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,confirmation,random,mixed,extreme,13,0,b4dedf73b0faaf0eea84a13fca44f389fdec8a82edfb1f9470d9efd5f630ae91,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],4ab13c3f2eea722c9aea93eabae585b5bebe162f4624052ed51831949f56f38f,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4324.511976,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",22632.87500058354,72,73,46,16,11,5,True,5133.574997,5133.575000116708,-3.1167082852334715e-06,320.8484373125,1.6415197000605986,16,1.0,stage3-round-broad-p3-0013-090b5d65c436241f,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,confirmation,random,max,correlated,16,0,ee187b1d80b90cc3e56b38f2d0c007f44c458760ed25db7186c42df91d125178,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],609181fc94c0fba8cee91a21040518c86291ecd85bdb6c72700d3e0361a45d37,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",5133.574997,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18180.559906257477,91,93,35,11,8,3,True,4319.11198,4319.111981251495,-1.2514956324594095e-06,392.6465436363636,1.1508188999723643,11,1.0,stage3-round-broad-p3-0014-721d6bc1f475e3e8,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,confirmation,random,max,extreme,11,0,388cf39ca2baecd9bdc5365f193581450368fe8d1b4a9988e1da79c475670b77,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],fb59638886a9390ffd899397512bb079e55cc6c7bcf2a3b2945e0188142b47f6,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4319.11198,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19129.263178130786,91,93,51,11,9,2,True,4556.852636,4556.852635626157,3.738423401955515e-07,414.25933054545453,1.1675094000529498,11,1.0,stage3-round-broad-p3-0021-3853fbb1d5ee001e,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,confirmation,random,max,deterministic,11,0,c9273ff2fddcb652aac26655e59d13ef91f70ab51e688a97779e5781d06e7a76,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],9ddea158bbe804fc73c52f6b799010e355c59615a4bb42ba8c69f61936cf6d36,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4556.852636,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19117.024792454595,83,84,42,14,9,5,True,4480.404958,4480.404958490919,-4.909188646706752e-07,320.0289255714286,1.4531239999923855,14,1.0,stage3-round-broad-p3-0030-e9e675fabfd857d1,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,confirmation,random,max,deterministic,14,0,edadc2f3e990d3495bfaab700f49cee2ad735ce5a7a51007e4624438276f3a3a,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],d4afb5978369dbd3e323ebdd29cfa33d8aaeb529f813d24c176edc9874ad2a40,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4480.404958,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19158.811739542518,90,93,42,11,9,2,True,4534.762349,4534.762347908503,1.0914964150288142e-06,412.2511226363636,1.13856830005534,11,1.0,stage3-round-broad-p3-0049-705a99fabb8b1b6d,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,confirmation,random,max,correlated,11,0,6f5e6755efbd88a666ab1dbbeaddb9989f48ae2b5f70d763494f7be5a32d6bc1,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],6761f4f4993ac7f8c60edebfd0663850ad155117597dfd3923282b9b75b431cc,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4534.762349,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19495.539646682133,90,92,43,13,12,1,True,4604.10793,4604.107929336426,6.635737008764409e-07,354.1621484615385,1.3153853999683633,13,1.0,stage3-round-broad-p3-0050-82c88f4277be32dd,broad,broad_joint,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,confirmation,random,max,extreme,13,0,50a8e0e09a7d7be4a789b5df96aad55af5397d85af5c1d76b3d361b34e28ef25,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],4a77ac1aaedc63e2b5e8fa035ae1d186946cd03b10ce902867e032b09cd27784,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4604.10793,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",17192.977366143357,101,103,28,12,9,3,True,4162.595467,4162.595473228672,-6.228671736607794e-06,346.88295558333334,1.2448168999981135,12,1.0,stage3-round-broad-p3-0052-b78e39d7c0f25d95,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_300,broad_or_stress_assumption,confirmation,random,mixed,correlated,12,0,61df7738efe8ac020f73778fd0e8ad9d0052273169c2cf24a19aa5068a38dee6,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],cf1007e0c9b96a9cd59ff49664e047658af4257521642904079b38b378b6119c,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4162.595467,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",21937.269456782982,85,87,46,16,11,5,True,5077.45389,5077.453891356597,-1.3565968401962891e-06,317.340868125,1.7806139999302104,16,1.0,stage3-round-broad-p3-0062-c52a8c5fc7ec9825,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,confirmation,random,mixed,extreme,16,0,aafce117698940cd59d8c4db7c8ea4c75015487566d7486695ec5a13ecd9b3f2,3,cd1e242cb9e30b1167239aaab152a2f8cb6ca89aa41498b580ec1889fd2c4b5c,joint,014f90c85d9df17918ca4aa165cefc62925fd937cec297da9b08baff35e26380,normal,,True,self_built_fixed_scenario,[],b8bb7c4966163c63269652ae3c9f2cbfc0f50b5f857eab4bcf289396cf048b70,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",5077.45389,,,,,
