case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-broad-p3-0058-2ea42beb7409617f,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-1092.4466410000005,-918.44663793177,-195,0,21,0,-4592.233189658848,-39,7,7,-3.068230398639571e-06
round-broad-p3-0058-2ea42beb7409617f,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-871.5064860000002,-737.5064828282639,-140,0,6,0,-3687.5324141413184,-28,2,2,-3.171736352669541e-06
round-broad-p3-0058-2ea42beb7409617f,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-657.4091240000007,-573.4091233543404,-90,0,6,0,-2867.045616771702,-18,2,2,-6.456602932303213e-07
round-broad-p3-0060-5b368ebcf1bee228,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-1129.9560529999999,-969.956044769835,-220,0,60,0,-4849.780223849175,-44,20,20,-8.230164894484915e-06
round-broad-p3-0060-5b368ebcf1bee228,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-854.0722480000004,-729.0722428405406,-155,0,30,0,-3645.361214202705,-31,10,10,-5.15945976076182e-06
round-broad-p3-0060-5b368ebcf1bee228,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-568.1527489999999,-488.1527469891371,-95,0,15,0,-2440.7637349456854,-19,5,5,-2.010862772294786e-06
round-broad-p3-0061-3350fc3f4341d395,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-759.6481330000001,-616.6481290667984,-170,0,27,0,-3083.2406453339936,-34,9,9,-3.933201696781907e-06
round-broad-p3-0061-3350fc3f4341d395,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-576.6808070000002,-475.6808065491973,-125,0,24,0,-2378.404032745986,-25,8,8,-4.5080287236487493e-07
round-broad-p3-0061-3350fc3f4341d395,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-450.8803400000006,-385.8803397194206,-80,0,15,0,-1929.401698597103,-16,5,5,-2.8058002499165013e-07
round-broad-p3-0062-63c15503241eacbf,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-496.06242199999997,-406.0624187329604,-150,0,60,0,-2030.312093664801,-30,20,20,-3.2670395739842206e-06
round-broad-p3-0062-63c15503241eacbf,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-312.000935,-264.0009332744021,-90,0,42,0,-1320.0046663720095,-18,14,14,-1.7255979400943033e-06
round-broad-p3-0062-63c15503241eacbf,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-216.61766499999976,-193.61766350163998,-50,0,27,0,-968.0883175081981,-10,9,9,-1.4983597793616354e-06
round-broad-p3-0063-2836325f655af561,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,joint_triangular_l1,joint_triangular_l5,True,True,-388.8671809999996,-337.8671794322022,-120,0,69,0,-1689.3358971610105,-24,23,23,-1.567797426105244e-06
round-broad-p3-0063-2836325f655af561,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,joint_triangular_l2,joint_triangular_l5,True,True,-289.33400299999994,-255.33400111970514,-70,0,36,0,-1276.6700055985239,-14,12,12,-1.8802948034135625e-06
round-broad-p3-0063-2836325f655af561,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,joint_triangular_l3,joint_triangular_l5,True,True,-191.57447700000012,-178.57447824074734,-40,0,27,0,-892.8723912037349,-8,9,9,1.240747224073857e-06
round-broad-p3-0064-751cbd8d9b457a75,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,joint_triangular_l1,joint_triangular_l5,True,True,-451.62477800000033,-337.62477551377424,-120,0,6,0,-1688.1238775688707,-24,2,2,-2.486226094333688e-06
round-broad-p3-0064-751cbd8d9b457a75,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,joint_triangular_l2,joint_triangular_l5,True,True,-341.9484830000001,-257.94848104098173,-90,0,6,0,-1289.7424052049082,-18,2,2,-1.9590183910622727e-06
