pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l3,joint_triangular_l5,160,0,0,0.0,-238.16868354999997,-259.50280435624995,-217.73931283171873,160,-238.16868354999997,-224.9212050000001,0.0,-8.830489999999372,4.730871706202869,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-258.8711602898438,-217.69850763453124
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l1,joint_triangular_l5,55,0,0,0.0,-552.2285585636364,-623.0211986118184,-490.11605043136376,55,-552.2285585636364,-512.7314969999998,0.0,-117.74840500000028,10.88281465700158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-617.8910326318181,-491.0961274836363
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l2,joint_triangular_l5,55,0,0,0.0,-410.34610949090904,-459.4796871377272,-361.96598719318166,55,-410.34610949090904,-351.91815700000006,0.0,-88.78842299999997,8.093376050232921,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-460.1718217527272,-360.795503234091
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l3,joint_triangular_l5,55,0,0,0.0,-283.0065395090909,-320.2024639563635,-247.17380961636357,55,-283.0065395090909,-258.1854979999998,0.0,-60.79600299999947,5.585227336731664,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-322.42265894772714,-246.47553626954547
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l1,joint_triangular_l5,56,0,0,0.0,-475.8138316607142,-545.9690654562498,-409.1515482901785,56,-475.8138316607142,-452.0100030000003,0.0,-74.16711899999973,9.360454823444957,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-546.0026267665177,-407.4785195450892
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l2,joint_triangular_l5,56,0,0,0.0,-353.3343219464286,-405.9233704044643,-303.9019813660715,56,-353.3343219464286,-345.6978009999998,0.0,-48.78682099999969,6.959908164511782,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-405.6345535598215,-303.6218795120535
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l3,joint_triangular_l5,56,0,0,0.0,-246.1118519285714,-283.1953587892857,-208.39372634508928,56,-246.1118519285714,-240.2084850000001,0.0,-8.830489999999372,4.849759211961046,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-284.7469945535714,-210.60797481160708
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l1,joint_triangular_l5,49,0,0,0.0,-373.14744779591837,-414.9871003510204,-330.76358374744905,49,-373.14744779591837,-378.07067199999983,0.0,-44.94883800000025,7.659220675364121,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-415.28871124336723,-330.70137410714295
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l2,joint_triangular_l5,49,0,0,0.0,-272.98063608163267,-306.22546308214277,-243.0737235020408,49,-272.98063608163267,-267.22685400000046,0.0,-25.54374100000041,5.583823368555449,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-303.7585346622449,-240.15142669234697
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l3,joint_triangular_l5,49,0,0,0.0,-178.76257116326528,-202.24386788622456,-156.12633125714285,49,-178.76257116326528,-169.42848499999945,0.0,-28.25840100000005,3.6360296653550805,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-200.6468535709183,-156.5308113209183
