environment,directory,problem,case_code,source_total_post_exit,directional_total_post_exit,cleared,clear_fraction,total_virtual_time_s,average_clear_time_s,local_program_real_s,server_timestamp_span_s,walk_m,measures,switches,clear_attempts,clear_failures,timing_residual_s,stop_evidence_type,original_log_filename,original_log_bytes,original_log_sha256,code_sha256,metadata_source
official_practice,p3_02,3,MK6S-GWQ5-EBNN-VPAC,15,0,15,1.0,5232.306106,348.8204067767354,2.4267589000519365,2.26,22681.530508255153,103,82,23,8,4.348969014245085e-06,per_channel_coverage,practice-p3-7098202057825360756-MK6S-GWQ5-EBNN-VPAC.jlog,38082,9b1022d1012d5650fcde9c9bd0147a33b5f17991b06377b35a40ef9bc846f814,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,post-exit UI; screenshots interface.png and completed.png
official_practice,p3_03,3,GF8M-F766-BQYN-ZDXC,11,0,11,1.0,3858.840284,350.80366216369833,2.050151399918832,1.916,15549.201419003408,113,96,22,11,1.9931849237764254e-07,per_channel_coverage,practice-p3-7997828451548612134-GF8M-F766-BQYN-ZDXC.jlog,38453,f61b6650bbe95cf943744250770228737cd2bebe02de9215d1b154c813d4b3f8,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,post-exit UI; screenshots interface.png and completed.png
official_practice,p4_01,4,2UBT-Y22B-E6C6-MXQU,16,14,16,1.0,11825.90875,739.1192966113695,4.791937800007872,4.639,47694.54372890956,346,273,84,68,4.218089088681154e-06,known_upper_bound,practice-p4-2926743685885109668-2UBT-Y22B-E6C6-MXQU.jlog,101400,581d45f1deae5269d3e26a9acc56d3c18f452f762ff93ba6f609d639ebcd6a39,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,post-exit UI; screenshots interface.png and completed.png
official_practice,p4_02,4,63G4-VPK5-AZX3-2YPM,14,2,14,1.0,10794.814634,771.0581880185525,4.592336000059731,4.447,42474.07316129867,363,310,49,35,1.7402653611497954e-06,per_channel_coverage,practice-p4-9221554332807856076-63G4-VPK5-AZX3-2YPM.jlog,92452,643effe10b55054925f9d7393f0c25f5a4fa671d27a1894a40258e13270e20c4,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,post-exit UI; screenshots interface.png and completed.png
