case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-development-round-broad-p4-0004-1b1562ea178b7e1f,4,broad,broad_joint,development,correlated,coverage,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1938.1567829999985,-1938.1567829999985,16.980330552957568,11414.1287,9475.971917,-6745.78392022301,-97,-4,-12.0,-2,-1349.1567840446023,-485.0,-92.0,-12.0,0.0,-750.3396519999969
p4-refinement-development-round-broad-p4-0004-1b1562ea178b7e1f,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-6.648596999999427,-6.648596999999427,0.05824883506000267,11414.1287,11407.480103,-33.24299089603301,0,0,0.0,0,-6.648598179206601,0.0,0.0,0.0,0.0,3.1668880000015633
p4-refinement-development-round-broad-p4-0005-ec38d18afc9331a0,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2788.8800979999996,-2788.8800979999996,23.561831400889854,11836.431772,9047.551674,-11244.400496234222,-56,-70,-210.0,4,-2248.880099246844,-280.0,-50.0,-210.0,0.0,0.0
p4-refinement-development-round-broad-p4-0005-ec38d18afc9331a0,4,broad,broad_joint,development,extreme,coverage,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2013.2492860000002,-2013.2492860000002,17.00892063402501,11836.431772,9823.182486,-8506.246445759592,-56,6,18.0,4,-1701.2492891519178,-280.0,-50.0,18.0,0.0,0.0
p4-refinement-development-round-broad-p4-0005-ec38d18afc9331a0,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-430.8410019999992,-430.8410019999992,3.6399567901805265,11836.431772,11405.59077,-1374.2050084092261,0,-52,-156.0,0,-274.8410016818452,0.0,0.0,-156.0,0.0,0.0
p4-refinement-development-round-broad-p4-0006-f68630b2abc88469,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1035.6858539999994,-1035.6858539999994,9.533359063757878,10863.808308,9828.122454,-4313.429270393608,-77,95,285.0,0,-862.6858540787207,-385.0,-73.0,285.0,0.0,1139.966464000001
p4-refinement-development-round-broad-p4-0006-f68630b2abc88469,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1537.2447350000002,-1537.2447350000002,14.150145983963917,10863.808308,9326.563573,-5306.223667508231,-77,-6,-18.0,0,-1061.244733501646,-385.0,-73.0,-18.0,0.0,0.0
p4-refinement-development-round-broad-p4-0006-f68630b2abc88469,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,318.97941300000093,318.97941300000093,-2.9361656976689074,10863.808308,11182.787721,979.897065295474,0,41,123.0,0,195.97941305909626,0.0,0.0,123.0,0.0,0.0
p4-refinement-development-round-broad-p4-0007-2ea6c4a3405d733c,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-840.9715380000016,-840.9715380000016,9.063845351222755,9278.308548,8437.33701,-2064.85769901234,-67,-11,-33.0,-1,-412.9715398024673,-335.0,-60.0,-33.0,0.0,-3143.1509290000013
p4-refinement-development-round-broad-p4-0007-2ea6c4a3405d733c,4,broad,broad_joint,development,correlated,coverage,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-752.2302390000004,-752.2302390000004,8.107407024765829,9278.308548,8526.078309,-1786.1511950320782,-67,0,0.0,-1,-357.2302390064151,-335.0,-60.0,0.0,0.0,-3143.1509290000013
p4-refinement-development-round-broad-p4-0007-2ea6c4a3405d733c,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-53.9906770000016,-53.9906770000016,0.5819021508143274,9278.308548,9224.317871,-134.95340312797634,0,-9,-27.0,0,-26.990680625594905,0.0,0.0,-27.0,0.0,-0.8893720000023677
p4-refinement-development-round-broad-p4-0008-86528914da53a90f,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1666.0070810000016,-1666.0070810000016,15.434420982611051,10794.101592,9128.094511,-8365.035413074322,11,-22,-66.0,0,-1673.0070826148649,55.0,18.0,-66.0,0.0,0.0
p4-refinement-development-round-broad-p4-0008-86528914da53a90f,4,broad,broad_joint,development,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1562.4873020000014,-1562.4873020000014,14.475380731621348,10794.101592,9231.61429,-8072.436524153258,11,-7,-21.0,0,-1614.4873048306517,55.0,18.0,-21.0,0.0,0.0
p4-refinement-development-round-broad-p4-0008-86528914da53a90f,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,349.7913219999991,349.7913219999991,-3.240578375316065,10794.101592,11143.892914,893.9566094407273,0,57,171.0,0,178.79132188814583,0.0,0.0,171.0,0.0,0.0
p4-refinement-development-round-broad-p4-0009-3fa5613d730c3695,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2609.60757,-2609.60757,23.385990088879826,11158.850064,8549.242494,-10248.037858970001,-80,-29,-87.0,0,-2049.6075717940003,-400.0,-73.0,-87.0,0.0,0.0
