partition,pool,variant,n_pairs,baseline_failures,candidate_failures,penalized_delta_mean_s,penalized_delta_ci95_s,completed_delta_mean_s,completed_delta_p90_s,completed_delta_p95_s,completed_worst_regression_s,completed_regression_rate,interpretation,walk_distance_m_delta_mean,measures_delta_mean,failed_clear_attempts_delta_mean,failed_clear_cost_s_delta_mean,fallback_targets_delta_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,post_clear_stop_tail_s_delta_mean
development,broad,combined_cover,80,0,0,-1697.1867885750003,"[-1921.5029924996875,-1466.1146027915627]",-1697.1867885750003,-641.4076709,71.45953854999911,2843.6013840000005,0.0625,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-6987.371444760727,-43.2875,-15.2625,-45.7875,0.325,-1397.4742889521453,-216.4375,-37.4875,-45.7875,0.0,-306.3112354375
development,broad,coverage,80,0,0,-1563.9374485875,"[-1781.4369837146878,-1344.0389543071876]",-1563.9374485875,-530.3016546999982,138.60964339999705,2489.0379760000005,0.0625,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-6471.749748948996,-43.2875,-5.2375,-15.7125,0.3125,-1294.349949789799,-216.4375,-37.4375,-15.7125,0.0,-320.74623935
development,broad,local_cover,80,0,0,-160.4989607,"[-257.95526680937496,-71.36871627218757]",-160.4989607,322.060603900001,461.16797075000045,1072.5548209999997,0.275,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-607.6197995278216,0.0,-12.9875,-38.9625,0.025,-121.5239599055642,0.0,-0.0125,-38.9625,0.0,0.026545037499988666
development,calibrated,combined_cover,80,0,0,-1616.090661125,"[-1792.5472757053128,-1441.7197564246874]",-1616.090661125,-659.2523366999989,-410.39191364999994,854.5532109999995,0.025,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-6589.76580542961,-43.4625,-14.55,-43.65,0.25,-1317.9531610859217,-217.3125,-37.175,-43.65,0.0,-309.63637235
development,calibrated,coverage,80,0,0,-1432.14752515,"[-1622.3617478443748,-1240.1569429159374]",-1432.14752515,-251.9425623999993,-21.796222650000395,1063.5219239999997,0.05,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5886.362627275232,-43.4625,-0.1125,-0.3375,0.2125,-1177.2725254550464,-217.3125,-37.225,-0.3375,0.0,-306.35959375000004
development,calibrated,local_cover,80,0,0,-218.88441572500005,"[-312.2821609296877,-127.75330909125034]",-218.88441572500005,173.60968469999978,339.4981817000004,978.0830869999991,0.25,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-807.9220764101577,0.0,-19.1125,-57.3375,0.0,-161.58441528203153,0.0,0.0375,-57.3375,0.0,0.059757549999937966
development,stress,combined_cover,40,0,0,-1364.959793625,"[-1771.2915977362497,-897.3645135175001]",-1364.959793625,63.24204060000028,1125.3074616999954,3285.7374800000007,0.125,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5772.048969653715,-38.925,5.925,17.775,0.25,-1154.409793930743,-194.625,-33.7,17.775,0.0,-91.20080117500004
development,stress,coverage,40,0,0,-1297.1122414249999,"[-1688.102011976875,-851.018740241251]",-1297.1122414249999,322.7480821999997,1149.6657649499946,2937.534548999999,0.15,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5525.0612075961535,-38.925,12.075,36.225,0.25,-1105.0122415192307,-194.625,-33.7,36.225,0.0,-91.29060562500004
development,stress,local_cover,40,0,0,-38.41398924999997,"[-133.72137124625,54.26946256562515]",-38.41398924999997,415.8915276000002,523.1616704500002,636.850042,0.275,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-159.06994491553738,0.0,-2.2,-6.6,-0.025,-31.813988983107357,0.0,0.0,-6.6,0.0,0.08268872500000271
