partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_300,combined_cover,1,1,0,0,9610.323181,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9610.323181,9610.323181,9610.323181,9610.323181,9610.323181,1,39126.61591369956,39126.61591369956,39126.61591369956,39126.61591369956,39126.61591369956,1,266.0,266,266,266,266,1,252.0,252,252,252,252,1,41.0,41,41,41,41,1,123.0,123.0,123.0,123.0,123.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7825.323182739912,7825.323182739912,7825.323182739912,7825.323182739912,7825.323182739912,1,1330.0,1330.0,1330.0,1330.0,1330.0,1,171.0,171.0,171.0,171.0,171.0,1,32.0,32.0,32.0,32.0,32.0,1,2.710785000002943,2.710785000002943,2.710785000002943,2.710785000002943,2.710785000002943
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_300,coverage,1,1,0,0,9644.361013,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9644.361013,9644.361013,9644.361013,9644.361013,9644.361013,1,39236.80507132437,39236.80507132437,39236.80507132437,39236.80507132437,39236.80507132437,1,266.0,266,266,266,266,1,252.0,252,252,252,252,1,45.0,45,45,45,45,1,135.0,135.0,135.0,135.0,135.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7847.361014264874,7847.361014264874,7847.361014264874,7847.361014264874,7847.361014264874,1,1330.0,1330.0,1330.0,1330.0,1330.0,1,183.0,183.0,183.0,183.0,183.0,1,32.0,32.0,32.0,32.0,32.0,1,2.391117600025609,2.391117600025609,2.391117600025609,2.391117600025609,2.391117600025609
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_300,current,1,1,0,0,11988.942026,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,11988.942026,11988.942026,11988.942026,11988.942026,11988.942026,1,49609.71012376686,49609.71012376686,49609.71012376686,49609.71012376686,49609.71012376686,1,284.0,284,284,284,284,1,264.0,264,264,264,264,1,101.0,101,101,101,101,1,303.0,303.0,303.0,303.0,303.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,9921.942024753373,9921.942024753373,9921.942024753373,9921.942024753373,9921.942024753373,1,1420.0,1420.0,1420.0,1420.0,1420.0,1,351.0,351.0,351.0,351.0,351.0,1,32.0,32.0,32.0,32.0,32.0,1,2.4878715000813827,2.4878715000813827,2.4878715000813827,2.4878715000813827,2.4878715000813827
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_300,local_cover,1,1,0,0,12119.820453,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,12119.820453,12119.820453,12119.820453,12119.820453,12119.820453,1,50039.102269776384,50039.102269776384,50039.102269776384,50039.102269776384,50039.102269776384,1,284.0,284,284,284,284,1,264.0,264,264,264,264,1,116.0,116,116,116,116,1,348.0,348.0,348.0,348.0,348.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,10007.820453955277,10007.820453955277,10007.820453955277,10007.820453955277,10007.820453955277,1,1420.0,1420.0,1420.0,1420.0,1420.0,1,396.0,396.0,396.0,396.0,396.0,1,32.0,32.0,32.0,32.0,32.0,1,2.8751577999209985,2.8751577999209985,2.8751577999209985,2.8751577999209985,2.8751577999209985
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_75,combined_cover,2,2,0,0,9261.0030115,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9261.0030115,9261.0030115,10184.9227527,10300.41272035,10415.902688,2,35705.0150633514,35705.0150633514,40336.61377265642,40915.56361131955,41494.51344998268,2,318.0,318.0,334.0,336.0,338,2,305.0,305.0,321.0,323.0,325,2,52.5,52.5,81.7,85.35,89,2,157.5,157.5,245.10000000000002,256.04999999999995,267.0,2,10.5,10.5,11.700000000000001,11.85,12,2,85.2583494999999,85.2583494999999,153.4650290999998,161.9908640499998,170.5166989999998,2,4.0,4.0,7.2,7.6,8,2,7141.003012670279,7141.003012670279,8067.322754531285,8183.11272226391,8298.902689996536,2,1590.0,1590.0,1670.0,1680.0,1690.0,2,198.0,198.0,289.2,300.59999999999997,312.0,2,27.0,27.0,29.4,29.700000000000003,30.0,2,2.6095417499891482,2.6095417499891482,3.0032169899786822,3.052426394977374,3.1016357999760658
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_75,coverage,2,2,0,0,9408.480499000001,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9408.480499000001,9408.480499000001,10398.930575800001,10522.736835400001,10646.543095,2,36172.40250090956,36172.40250090956,41028.65288158998,41635.684179175034,42242.71547676008,2,318.0,318.0,334.0,336.0,338,2,305.0,305.0,321.0,323.0,325,2,70.5,70.5,106.9,111.44999999999999,116,2,211.5,211.5,320.7,334.34999999999997,348.0,2,10.5,10.5,11.700000000000001,11.85,12,2,85.2583494999999,85.2583494999999,153.4650290999998,161.9908640499998,170.5166989999998,2,4.0,4.0,7.2,7.6,8,2,7234.480500181911,7234.480500181911,8205.730576317994,8327.136835835005,8448.543095352015,2,1590.0,1590.0,1670.0,1680.0,1690.0,2,252.0,252.0,364.8,378.9,393.0,2,27.0,27.0,29.4,29.700000000000003,30.0,2,2.260901350004133,2.260901350004133,2.5260899499873632,2.559238524985267,2.5923870999831706
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_75,current,2,2,0,0,11185.2790975,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,11185.2790975,11185.2790975,11480.1725595,11517.034242250002,11553.895925,2,43623.89549325556,43623.89549325556,45020.3627987025,45194.92121188337,45369.47962506423,2,346.5,346.5,370.1,373.05,376,2,326.0,326.0,348.40000000000003,351.20000000000005,354,2,111.5,111.5,161.5,167.74999999999997,174,2,334.5,334.5,484.5,503.25,522.0,2,11.0,11.0,12.600000000000001,12.8,13,2,879.2047935,879.2047935,1582.5686283000002,1670.48910765,1758.409587,2,28.0,28.0,50.4,53.199999999999996,56,2,8724.779098651112,8724.779098651112,9004.0725597405,9038.984242376673,9073.895925012846,2,1732.5,1732.5,1850.5,1865.25,1880.0,2,375.0,375.0,528.6,547.8,567.0,2,27.0,27.0,29.4,29.700000000000003,30.0,2,2.4265014000120573,2.4265014000120573,2.46483683999395,2.4696287699916866,2.474420699989423
development,stress,stress_design,assumption__radius_max__noise_deterministic__scale_75,local_cover,2,2,0,0,10811.990663,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10811.990663,10811.990663,10881.7638998,10890.4855544,10899.207209,2,42409.95332817085,42409.95332817085,43058.819510447494,43139.92778323207,43221.03605601666,2,346.5,346.5,370.1,373.05,376,2,326.0,326.0,348.40000000000003,351.20000000000005,354,2,68.0,68.0,92.80000000000001,95.9,99,2,204.0,204.0,278.40000000000003,287.7,297.0,2,11.0,11.0,12.600000000000001,12.8,13,2,879.7346700000007,879.7346700000007,1583.5224060000014,1671.4958730000012,1759.4693400000015,2,28.0,28.0,50.4,53.199999999999996,56,2,8481.99066563417,8481.99066563417,8611.763902089499,8627.985556646414,8644.207211203331,2,1732.5,1732.5,1850.5,1865.25,1880.0,2,244.5,244.5,322.5,332.25,342.0,2,27.0,27.0,29.4,29.700000000000003,30.0,2,2.595757649978623,2.595757649978623,2.8413134499918673,2.8720079249935226,2.902702399995178
development,stress,stress_design,assumption__radius_max__noise_extreme__scale_150,combined_cover,1,1,0,0,9012.685864,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9012.685864,9012.685864,9012.685864,9012.685864,9012.685864,1,35598.42930908178,35598.42930908178,35598.42930908178,35598.42930908178,35598.42930908178,1,282.0,282,282,282,282,1,262.0,262,262,262,262,1,52.0,52,52,52,52,1,156.0,156.0,156.0,156.0,156.0,1,9.0,9,9,9,9,1,1896.3537619999988,1896.3537619999988,1896.3537619999988,1896.3537619999988,1896.3537619999988,1,56.0,56,56,56,56,1,7119.685861816356,7119.685861816356,7119.685861816356,7119.685861816356,7119.685861816356,1,1410.0,1410.0,1410.0,1410.0,1410.0,1,195.0,195.0,195.0,195.0,195.0,1,26.0,26.0,26.0,26.0,26.0,1,2.566360800061375,2.566360800061375,2.566360800061375,2.566360800061375,2.566360800061375
development,stress,stress_design,assumption__radius_max__noise_extreme__scale_150,coverage,1,1,0,0,9285.254908,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9285.254908,9285.254908,9285.254908,9285.254908,9285.254908,1,36466.27453683729,36466.27453683729,36466.27453683729,36466.27453683729,36466.27453683729,1,282.0,282,282,282,282,1,262.0,262,262,262,262,1,85.0,85,85,85,85,1,255.0,255.0,255.0,255.0,255.0,1,9.0,9,9,9,9,1,1896.3537620000006,1896.3537620000006,1896.3537620000006,1896.3537620000006,1896.3537620000006,1,56.0,56,56,56,56,1,7293.254907367458,7293.254907367458,7293.254907367458,7293.254907367458,7293.254907367458,1,1410.0,1410.0,1410.0,1410.0,1410.0,1,294.0,294.0,294.0,294.0,294.0,1,26.0,26.0,26.0,26.0,26.0,1,2.299096600036137,2.299096600036137,2.299096600036137,2.299096600036137,2.299096600036137
