pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,immediate,joint,64,0,0,0.0,2046.18850925,1812.6906833937503,2284.39102220625,64,2046.18850925,2030.5041364999997,1.0,4468.087615,-44.988680681421016,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,1825.9297919289063,2271.682880292968
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,scan_then_clear,joint,64,0,0,0.0,563.49983559375,482.5433844050782,636.2560871882811,64,563.49983559375,616.4428134999998,0.921875,1217.7734950000004,-12.64727123317335,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,491.398177775,637.0327415230469
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,immediate,joint,24,0,0,0.0,2134.985958083333,1730.245268903125,2544.9176359406247,24,2134.985958083333,2102.2770170000003,1.0,4070.400830999999,-46.89137312216718,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,1742.9697581875,2548.833349636458
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,scan_then_clear,joint,24,0,0,0.0,651.4760400833334,574.3457022635416,727.1267907458334,24,651.4760400833334,647.5997074999998,1.0,983.7016050000002,-14.329335499812672,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,576.8375923270834,725.285810721875
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,immediate,joint,22,0,0,0.0,2051.6017298636366,1686.2471932931821,2430.934950703409,22,2051.6017298636366,2034.2735954999998,1.0,4318.631835,-45.540641875184065,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,1685.7126968602272,2429.6958552409087
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,scan_then_clear,joint,22,0,0,0.0,598.8793261363637,450.2855649159093,735.0809164829544,22,598.8793261363637,654.4294965000001,0.9545454545454546,1217.7734950000004,-13.648259421953798,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,457.1439030102274,735.4327735045454
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,immediate,joint,18,0,0,0.0,1921.175752277778,1556.7019954083332,2381.849200095833,18,1921.175752277778,1749.7697265000002,1.0,4468.087615,-41.7771381902713,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,1550.4552124444444,2357.6954751527783
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,scan_then_clear,joint,18,0,0,0.0,402.9566300555555,259.7969377694444,551.0176147097222,18,402.9566300555555,497.1369344999998,0.7777777777777778,933.0519679999998,-9.18108886914482,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,248.24715261249992,551.7265387930555
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,immediate,joint,64,0,0,0.0,2046.18850925,1818.6022754937499,2283.257680078515,64,2046.18850925,2030.5041364999997,1.0,4468.087615,-44.988680681421016,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,1826.2608885308596,2275.0078429371097
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,scan_then_clear,joint,64,0,0,0.0,563.49983559375,485.38724936875,637.8333213277343,64,563.49983559375,616.4428134999998,0.921875,1217.7734950000004,-12.64727123317335,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,488.1169619546875,634.5726428996095
