case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage3-round-broad-p3-0015-b78f659144bd0cc8,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint,True,0,721.4699369999998,721.4699369999998,-17.066583723445742,4227.383457,4948.853394
stage3-round-broad-p3-0016-682edc99dac37223,3,broad,broad_joint,development,correlated,immediate,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint,True,0,2822.9737999999998,2822.9737999999998,-61.39005181269948,4598.422247,7421.396047
stage3-round-broad-p3-0016-682edc99dac37223,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint,True,0,613.6658239999997,613.6658239999997,-13.345138637504501,4598.422247,5212.088071
stage3-round-broad-p3-0017-0ac4c1486cd45cce,3,broad,broad_joint,development,extreme,immediate,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint,True,0,1756.4866010000005,1756.4866010000005,-39.21980673822905,4478.570261,6235.056862
stage3-round-broad-p3-0017-0ac4c1486cd45cce,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint,True,0,555.0821620000006,555.0821620000006,-12.394182287006451,4478.570261,5033.652423
stage3-round-broad-p3-0018-1a45d0d11ecea45a,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint,True,0,2252.163861,2252.163861,-56.0886625242784,4015.363818,6267.527679
stage3-round-broad-p3-0018-1a45d0d11ecea45a,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint,True,0,634.8821820000003,634.8821820000003,-15.811323974030996,4015.363818,4650.246
stage3-round-broad-p3-0019-a41e9fb762e3d43f,3,broad,broad_joint,development,correlated,immediate,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,508.8393699999997,508.8393699999997,-10.900398422030538,4668.080471,5176.919841
stage3-round-broad-p3-0019-a41e9fb762e3d43f,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,501.62033299999985,501.62033299999985,-10.745751623526367,4668.080471,5169.700804
stage3-round-broad-p3-0020-3566a359d460da43,3,broad,broad_joint,development,extreme,immediate,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,1421.2836429999998,1421.2836429999998,-27.85809534064308,5101.869405,6523.153048
stage3-round-broad-p3-0020-3566a359d460da43,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,-138.84116900000026,-138.84116900000026,2.721378341514021,5101.869405,4963.028236
stage3-round-broad-p3-0022-8fdd88eb07094d6e,3,broad,broad_joint,development,correlated,immediate,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,2973.5094450000006,2973.5094450000006,-62.722011974611405,4740.774971,7714.284416
stage3-round-broad-p3-0022-8fdd88eb07094d6e,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,983.7016050000002,983.7016050000002,-20.749805907629955,4740.774971,5724.476576
stage3-round-broad-p3-0023-f4c2093f593214d3,3,broad,broad_joint,development,extreme,immediate,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,4468.087615,4468.087615,-98.78933090655482,4522.844293,8990.931908
stage3-round-broad-p3-0023-f4c2093f593214d3,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,670.4876789999998,670.4876789999998,-14.8244696382255,4522.844293,5193.331972
stage3-round-broad-p3-0024-903f451e44e14480,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_mixed__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint,True,0,2183.8082939999995,2183.8082939999995,-54.296847570742585,4021.979897,6205.788191
stage3-round-broad-p3-0024-903f451e44e14480,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_mixed__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint,True,0,604.9706829999996,604.9706829999996,-15.041613794520652,4021.979897,4626.95058
stage3-round-broad-p3-0025-b87abde9e0431417,3,broad,broad_joint,development,correlated,immediate,assumption__radius_mixed__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,2564.649424,2564.649424,-53.115902478380065,4828.402238,7393.051662
stage3-round-broad-p3-0025-b87abde9e0431417,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_mixed__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint,True,0,445.3985480000001,445.3985480000001,-9.22455350746609,4828.402238,5273.800786
stage3-round-broad-p3-0026-fd946d8b8a928675,3,broad,broad_joint,development,extreme,immediate,assumption__radius_mixed__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,1179.3781649999996,1179.3781649999996,-30.21089382032197,3903.817517,5083.195682
stage3-round-broad-p3-0026-fd946d8b8a928675,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_mixed__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint,True,0,635.780096,635.780096,-16.28611207443383,3903.817517,4539.597613
stage3-round-broad-p3-0027-a8732b3d83539433,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,1786.6654159999998,1786.6654159999998,-36.66160525629195,4873.396578,6660.061994
stage3-round-broad-p3-0027-a8732b3d83539433,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,668.968382,668.968382,-13.726943237493282,4873.396578,5542.36496
stage3-round-broad-p3-0028-40753bf7d3dab007,3,broad,broad_joint,development,correlated,immediate,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,873.6862520000004,873.6862520000004,-20.645311216270464,4231.887051,5105.573303
stage3-round-broad-p3-0028-40753bf7d3dab007,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,670.0595560000002,670.0595560000002,-15.833587898846789,4231.887051,4901.946607
stage3-round-broad-p3-0029-fe04e197ed4c7238,3,broad,broad_joint,development,extreme,immediate,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,1023.6518999999998,1023.6518999999998,-20.932082401829614,4890.349084,5914.000984
stage3-round-broad-p3-0029-fe04e197ed4c7238,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,-63.20111700000052,-63.20111700000052,1.292364121955604,4890.349084,4827.147967
stage3-round-broad-p3-0031-0981374abfd5e624,3,broad,broad_joint,development,correlated,immediate,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,4070.400830999999,4070.400830999999,-88.18378472153027,4615.815531,8686.216362
stage3-round-broad-p3-0031-0981374abfd5e624,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,567.6127589999996,567.6127589999996,-12.297128322999258,4615.815531,5183.42829
stage3-round-broad-p3-0032-f19126acac2b54c6,3,broad,broad_joint,development,extreme,immediate,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,3204.5590809999994,3204.5590809999994,-59.38218386907327,5396.499206,8601.058287
stage3-round-broad-p3-0032-f19126acac2b54c6,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,191.29811299999983,191.29811299999983,-3.5448557610702225,5396.499206,5587.797319
stage3-round-broad-p3-0033-91cfb379cdf8e03d,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,1583.5158700000002,1583.5158700000002,-37.04208847565442,4274.909799,5858.425669
stage3-round-broad-p3-0033-91cfb379cdf8e03d,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,584.5318200000002,584.5318200000002,-13.673547454421977,4274.909799,4859.441619
stage3-round-broad-p3-0034-dba605902c2c1a6b,3,broad,broad_joint,development,correlated,immediate,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2043.9807359999995,2043.9807359999995,-40.92397150882609,4994.580586,7038.561322
