case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage2-round-broad-p3-0000-cca0188d2ad95797,3,broad,broad_joint,development,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4484.085567,4484.085567
stage2-round-broad-p3-0001-4f461e441885976f,3,broad,broad_joint,development,correlated,nosignal,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4165.174009,4165.174009
stage2-round-broad-p3-0002-94941a19b1e01560,3,broad,broad_joint,development,extreme,nosignal,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,5142.452039,5142.452039
stage2-round-broad-p3-0004-a7b68b166412d471,3,broad,broad_joint,development,correlated,nosignal,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4771.843099,4771.843099
stage2-round-broad-p3-0005-1696cc2130ebff7b,3,broad,broad_joint,development,extreme,nosignal,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4449.580057,4449.580057
stage2-round-broad-p3-0006-06ec1a4e3233caf8,3,broad,broad_joint,development,deterministic,nosignal,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4457.61947,4457.61947
stage2-round-broad-p3-0007-8307de47ed2796d2,3,broad,broad_joint,development,correlated,nosignal,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4402.06402,4402.06402
stage2-round-broad-p3-0009-a3de222bcd17e3ff,3,broad,broad_joint,development,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4946.321754,4946.321754
stage2-round-broad-p3-0010-fa4929fb32ebc59e,3,broad,broad_joint,development,correlated,nosignal,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4777.044471,4777.044471
stage2-round-broad-p3-0011-d5159428387059a1,3,broad,broad_joint,development,extreme,nosignal,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,normal,True,0,0.0,0.0,0.0,4643.624131,4643.624131
