case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage2-round-broad-p3-0000-cca0188d2ad95797,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0001-4f461e441885976f,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0002-94941a19b1e01560,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0004-a7b68b166412d471,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0005-1696cc2130ebff7b,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0006-06ec1a4e3233caf8,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0007-8307de47ed2796d2,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0009-a3de222bcd17e3ff,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0010-fa4929fb32ebc59e,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0011-d5159428387059a1,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0012-e30b3cf37e302eb5,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0013-0649fb9ab208d9bd,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0014-fd7658ead85f6769,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
stage2-round-broad-p3-0015-201efa8e45381fc5,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,development,nosignal,normal,True,True,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0
