partition,pool,variant,n_pairs,baseline_failures,candidate_failures,penalized_delta_mean_s,penalized_delta_ci95_s,completed_delta_mean_s,completed_delta_p90_s,completed_delta_p95_s,completed_worst_regression_s,completed_regression_rate,interpretation,walk_distance_m_delta_mean,measures_delta_mean,failed_clear_attempts_delta_mean,failed_clear_cost_s_delta_mean,fallback_targets_delta_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,post_clear_stop_tail_s_delta_mean
development,broad,combined_cover,2,0,0,-1575.2964380000003,"[-2521.0162070000006,-629.576669]",-1575.2964380000003,-818.7206228000001,-724.1486459000001,-629.576669,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-6538.982196380552,-54.0,17.0,51.0,2.5,-1307.7964392761105,-270.0,-48.5,51.0,0.0,-568.2329854999998
development,broad,coverage,2,0,0,-1422.9680395000005,"[-2395.1765380000015,-450.75954099999944]",-1422.9680395000005,-645.2012406999996,-547.9803908499996,-450.75954099999944,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5912.340189797265,-54.0,26.0,78.0,2.5,-1182.4680379594533,-270.0,-48.5,78.0,0.0,-568.2329854999998
development,broad,local_cover,2,0,0,257.37521949999973,"[-37.97127399999954,552.721712999999]",257.37521949999973,493.6524142999991,523.1870636499991,552.721712999999,0.5,Pointwise paired CI for this pool's frozen design mixture; not an official population.,776.8760914547565,0.0,34.0,102.0,0.0,155.37521829095158,0.0,0.0,102.0,0.0,0.0
development,calibrated,combined_cover,2,0,0,-1311.6904759999998,"[-1388.5688529999989,-1234.8120990000007]",-1311.6904759999998,-1250.1877744000005,-1242.4999367000007,-1234.8120990000007,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5660.952388386409,-36.0,9.5,28.5,1.0,-1132.1904776772817,-180.0,-28.0,28.5,0.0,-1126.2572599999994
development,calibrated,coverage,2,0,0,-1299.2084840000007,"[-1535.6835030000002,-1062.7334650000012]",-1299.2084840000007,-1110.028468800001,-1086.380966900001,-1062.7334650000012,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-5576.042432577637,-36.0,8.0,24.0,1.0,-1115.208486515527,-180.0,-28.0,24.0,0.0,-1126.2572600000003
development,calibrated,local_cover,2,0,0,-88.79666950000046,"[-209.81906100000015,32.22572199999922]",-88.79666950000046,8.021243699999292,20.123482849999245,32.22572199999922,0.5,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-376.483356993911,0.0,-4.5,-13.5,0.0,-75.29667139878165,0.0,0.0,-13.5,0.0,1.268871499999932
development,stress,combined_cover,2,0,0,-2301.6353794999995,"[-3304.8611409999994,-1298.4096179999997]",-2301.6353794999995,-1499.0547702999997,-1398.7321941499997,-1298.4096179999997,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-10075.676899810815,-42.0,-13.5,-40.5,-2.5,-2015.1353799621634,-210.0,-36.0,-40.5,0.0,63.502629000000525
development,stress,coverage,2,0,0,-2253.2481935000005,"[-3264.2453380000006,-1242.2510490000004]",-2253.2481935000005,-1444.4504779000006,-1343.3507634500006,-1242.2510490000004,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-9961.24097349723,-42.0,-5.0,-15.0,-2.5,-1992.2481946994467,-210.0,-36.0,-15.0,0.0,63.502628999999615
development,stress,local_cover,2,0,0,-61.54141350000009,"[-101.77518000000055,-21.307646999999633]",-61.54141350000009,-29.354400299999725,-25.331023649999683,-21.307646999999633,0.0,Pointwise paired CI for this pool's frozen design mixture; not an official population.,-180.20705682917105,0.0,-8.5,-25.5,0.0,-36.04141136583485,0.0,0.0,-25.5,0.0,0.0
