partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
development,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,coverage,1,1,0,0,8840.587569,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8840.587569,8840.587569,8840.587569,8840.587569,8840.587569,1,33007.93786673779,33007.93786673779,33007.93786673779,33007.93786673779,33007.93786673779,1,330.0,330,330,330,330,1,314.0,314,314,314,314,1,70.0,70,70,70,70,1,210.0,210.0,210.0,210.0,210.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,6601.587573347558,6601.587573347558,6601.587573347558,6601.587573347558,6601.587573347558,1,1650.0,1650.0,1650.0,1650.0,1650.0,1,249.0,249.0,249.0,249.0,249.0,1,26.0,26.0,26.0,26.0,26.0,1,1.7174261000473052,1.7174261000473052,1.7174261000473052,1.7174261000473052,1.7174261000473052
development,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,current,1,1,0,0,11235.764107,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,11235.764107,11235.764107,11235.764107,11235.764107,11235.764107,1,43003.82054724772,43003.82054724772,43003.82054724772,43003.82054724772,43003.82054724772,1,392.0,392,392,392,392,1,370.0,370,370,370,370,1,80.0,80,80,80,80,1,240.0,240.0,240.0,240.0,240.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,8600.764109449545,8600.764109449545,8600.764109449545,8600.764109449545,8600.764109449545,1,1960.0,1960.0,1960.0,1960.0,1960.0,1,279.0,279.0,279.0,279.0,279.0,1,26.0,26.0,26.0,26.0,26.0,1,1.7279959000879899,1.7279959000879899,1.7279959000879899,1.7279959000879899,1.7279959000879899
development,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,local_cover,1,1,0,0,11788.48582,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,11788.48582,11788.48582,11788.48582,11788.48582,11788.48582,1,44642.42910294322,44642.42910294322,44642.42910294322,44642.42910294322,44642.42910294322,1,392.0,392,392,392,392,1,370.0,370,370,370,370,1,155.0,155,155,155,155,1,465.0,465.0,465.0,465.0,465.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,8928.485820588645,8928.485820588645,8928.485820588645,8928.485820588645,8928.485820588645,1,1960.0,1960.0,1960.0,1960.0,1960.0,1,504.0,504.0,504.0,504.0,504.0,1,26.0,26.0,26.0,26.0,26.0,1,2.2571729000192136,2.2571729000192136,2.2571729000192136,2.2571729000192136,2.2571729000192136
development,calibrated,__pool_design__,__design_mixture__,combined_cover,2,2,0,0,9031.1759435,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9031.1759435,9031.1759435,9312.4236039,9347.57956145,9382.735519,2,34935.87971672724,34935.87971672724,35182.11802324298,35212.89781155745,35243.67759987192,2,303.0,303.0,355.8,362.40000000000003,369,2,286.5,286.5,338.9,345.45,352,2,60.0,60.0,84.80000000000001,87.9,91,2,180.0,180.0,254.4,263.7,273.0,2,10.5,10.5,10.9,10.95,11,2,500.38267600000063,500.38267600000063,900.6888168000012,950.7270844000011,1000.7653520000013,2,12.5,12.5,22.5,23.75,25,2,6987.175943345449,6987.175943345449,7036.423604648597,7042.579562311489,7048.735519974383,2,1515.0,1515.0,1779.0,1812.0,1845.0,2,217.5,217.5,297.9,307.95,318.0,2,25.0,25.0,29.0,29.5,30.0,2,1.8486287000705488,1.8486287000705488,2.032516700087581,2.05550270008971,2.078488700091839
development,calibrated,__pool_design__,__design_mixture__,coverage,2,2,0,0,9043.6579355,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9043.6579355,9043.6579355,9452.5829095,9503.69853125,9554.814153,2,35020.78967253602,35020.78967253602,35659.41454987625,35739.24265954377,35819.07076921131,2,303.0,303.0,355.8,362.40000000000003,369,2,286.5,286.5,338.9,345.45,352,2,58.5,58.5,66.9,67.95,69,2,175.5,175.5,200.70000000000002,203.85,207.0,2,10.5,10.5,10.9,10.95,11,2,500.3826759999997,500.3826759999997,900.6888167999995,950.7270843999994,1000.7653519999994,2,12.5,12.5,22.5,23.75,25,2,7004.157934507204,7004.157934507204,7131.88290997525,7147.848531908756,7163.8141538422615,2,1515.0,1515.0,1779.0,1812.0,1845.0,2,213.0,213.0,244.20000000000002,248.1,252.0,2,25.0,25.0,29.0,29.5,30.0,2,1.5790098499855958,1.5790098499855958,1.6605018899659627,1.6706883949635083,1.6808748999610543
development,calibrated,__pool_design__,__design_mixture__,current,2,2,0,0,10342.8664195,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10342.8664195,10342.8664195,10562.611378300002,10590.07949815,10617.547618,2,40596.83210511366,40596.83210511366,41504.10731828385,41617.51671993013,41730.926121576405,2,339.0,339.0,411.0,419.99999999999994,429,2,314.5,314.5,386.1,395.04999999999995,404,2,50.5,50.5,57.3,58.15,59,2,151.5,151.5,171.9,174.45000000000002,177.0,2,9.5,9.5,11.5,11.749999999999998,12,2,1626.639936,1626.639936,2927.9518848000002,3090.6158784,3253.279872,2,35.0,35.0,63.0,66.5,70,2,8119.366421022731,8119.366421022731,8300.821463656772,8323.503343986025,8346.18522431528,2,1695.0,1695.0,2055.0,2100.0,2145.0,2,189.0,189.0,215.4,218.7,222.0,2,25.0,25.0,29.0,29.5,30.0,2,1.574224000039976,1.574224000039976,1.7332572800456547,1.7531364400463645,1.7730156000470743
development,calibrated,__pool_design__,__design_mixture__,local_cover,2,2,0,0,10254.069749999999,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10254.069749999999,10254.069749999999,10570.632622000001,10610.202981,10649.77334,2,40220.348748119744,40220.348748119744,40757.53438916655,40824.682594297396,40891.830799428244,2,339.0,339.0,411.0,419.99999999999994,429,2,314.5,314.5,386.1,395.04999999999995,404,2,46.0,46.0,46.800000000000004,46.9,47,2,138.0,138.0,140.4,140.7,141.0,2,9.5,9.5,11.5,11.749999999999998,12,2,1627.9088075,1627.9088075,2930.2358535,3093.0267342499997,3255.817615,2,35.0,35.0,63.0,66.5,70,2,8044.069749623949,8044.069749623949,8151.506877833309,8164.936518859478,8178.366159885649,2,1695.0,1695.0,2055.0,2100.0,2145.0,2,175.5,175.5,179.1,179.55,180.0,2,25.0,25.0,29.0,29.5,30.0,2,1.7787791499868035,1.7787791499868035,1.7951103899627923,1.797151794959791,1.7991931999567896
development,calibrated,broad_joint,__design_mixture__,combined_cover,1,1,0,0,8679.616368,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8679.616368,8679.616368,8679.616368,8679.616368,8679.616368,1,34628.081833582575,34628.081833582575,34628.081833582575,34628.081833582575,34628.081833582575,1,237.0,237,237,237,237,1,221.0,221,221,221,221,1,91.0,91,91,91,91,1,273.0,273.0,273.0,273.0,273.0,1,11.0,11,11,11,11,1,1000.7653520000013,1000.7653520000013,1000.7653520000013,1000.7653520000013,1000.7653520000013,1,25.0,25,25,25,25,1,6925.616366716515,6925.616366716515,6925.616366716515,6925.616366716515,6925.616366716515,1,1185.0,1185.0,1185.0,1185.0,1185.0,1,318.0,318.0,318.0,318.0,318.0,1,30.0,30.0,30.0,30.0,30.0,1,2.078488700091839,2.078488700091839,2.078488700091839,2.078488700091839,2.078488700091839
development,calibrated,broad_joint,__design_mixture__,coverage,1,1,0,0,8532.501718,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8532.501718,8532.501718,8532.501718,8532.501718,8532.501718,1,34222.50857586073,34222.50857586073,34222.50857586073,34222.50857586073,34222.50857586073,1,237.0,237,237,237,237,1,221.0,221,221,221,221,1,69.0,69,69,69,69,1,207.0,207.0,207.0,207.0,207.0,1,11.0,11,11,11,11,1,1000.7653519999994,1000.7653519999994,1000.7653519999994,1000.7653519999994,1000.7653519999994,1,25.0,25,25,25,25,1,6844.501715172146,6844.501715172146,6844.501715172146,6844.501715172146,6844.501715172146,1,1185.0,1185.0,1185.0,1185.0,1185.0,1,252.0,252.0,252.0,252.0,252.0,1,30.0,30.0,30.0,30.0,30.0,1,1.6808748999610543,1.6808748999610543,1.6808748999610543,1.6808748999610543,1.6808748999610543
development,calibrated,broad_joint,__design_mixture__,current,1,1,0,0,10068.185221,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10068.185221,10068.185221,10068.185221,10068.185221,10068.185221,1,41730.926121576405,41730.926121576405,41730.926121576405,41730.926121576405,41730.926121576405,1,249.0,249,249,249,249,1,225.0,225,225,225,225,1,59.0,59,59,59,59,1,177.0,177.0,177.0,177.0,177.0,1,12.0,12,12,12,12,1,3253.279872,3253.279872,3253.279872,3253.279872,3253.279872,1,70.0,70,70,70,70,1,8346.18522431528,8346.18522431528,8346.18522431528,8346.18522431528,8346.18522431528,1,1245.0,1245.0,1245.0,1245.0,1245.0,1,222.0,222.0,222.0,222.0,222.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7730156000470743,1.7730156000470743,1.7730156000470743,1.7730156000470743,1.7730156000470743
