partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
development,calibrated,broad_joint,__design_mixture__,local_cover,1,1,0,0,9858.36616,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9858.36616,9858.36616,9858.36616,9858.36616,9858.36616,1,40891.830799428244,40891.830799428244,40891.830799428244,40891.830799428244,40891.830799428244,1,249.0,249,249,249,249,1,225.0,225,225,225,225,1,45.0,45,45,45,45,1,135.0,135.0,135.0,135.0,135.0,1,12.0,12,12,12,12,1,3255.817615,3255.817615,3255.817615,3255.817615,3255.817615,1,70.0,70,70,70,70,1,8178.366159885649,8178.366159885649,8178.366159885649,8178.366159885649,8178.366159885649,1,1245.0,1245.0,1245.0,1245.0,1245.0,1,180.0,180.0,180.0,180.0,180.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7991931999567896,1.7991931999567896,1.7991931999567896,1.7991931999567896,1.7991931999567896
development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,combined_cover,1,1,0,0,8679.616368,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8679.616368,8679.616368,8679.616368,8679.616368,8679.616368,1,34628.081833582575,34628.081833582575,34628.081833582575,34628.081833582575,34628.081833582575,1,237.0,237,237,237,237,1,221.0,221,221,221,221,1,91.0,91,91,91,91,1,273.0,273.0,273.0,273.0,273.0,1,11.0,11,11,11,11,1,1000.7653520000013,1000.7653520000013,1000.7653520000013,1000.7653520000013,1000.7653520000013,1,25.0,25,25,25,25,1,6925.616366716515,6925.616366716515,6925.616366716515,6925.616366716515,6925.616366716515,1,1185.0,1185.0,1185.0,1185.0,1185.0,1,318.0,318.0,318.0,318.0,318.0,1,30.0,30.0,30.0,30.0,30.0,1,2.078488700091839,2.078488700091839,2.078488700091839,2.078488700091839,2.078488700091839
development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,coverage,1,1,0,0,8532.501718,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8532.501718,8532.501718,8532.501718,8532.501718,8532.501718,1,34222.50857586073,34222.50857586073,34222.50857586073,34222.50857586073,34222.50857586073,1,237.0,237,237,237,237,1,221.0,221,221,221,221,1,69.0,69,69,69,69,1,207.0,207.0,207.0,207.0,207.0,1,11.0,11,11,11,11,1,1000.7653519999994,1000.7653519999994,1000.7653519999994,1000.7653519999994,1000.7653519999994,1,25.0,25,25,25,25,1,6844.501715172146,6844.501715172146,6844.501715172146,6844.501715172146,6844.501715172146,1,1185.0,1185.0,1185.0,1185.0,1185.0,1,252.0,252.0,252.0,252.0,252.0,1,30.0,30.0,30.0,30.0,30.0,1,1.6808748999610543,1.6808748999610543,1.6808748999610543,1.6808748999610543,1.6808748999610543
development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,current,1,1,0,0,10068.185221,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10068.185221,10068.185221,10068.185221,10068.185221,10068.185221,1,41730.926121576405,41730.926121576405,41730.926121576405,41730.926121576405,41730.926121576405,1,249.0,249,249,249,249,1,225.0,225,225,225,225,1,59.0,59,59,59,59,1,177.0,177.0,177.0,177.0,177.0,1,12.0,12,12,12,12,1,3253.279872,3253.279872,3253.279872,3253.279872,3253.279872,1,70.0,70,70,70,70,1,8346.18522431528,8346.18522431528,8346.18522431528,8346.18522431528,8346.18522431528,1,1245.0,1245.0,1245.0,1245.0,1245.0,1,222.0,222.0,222.0,222.0,222.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7730156000470743,1.7730156000470743,1.7730156000470743,1.7730156000470743,1.7730156000470743
development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_cover,1,1,0,0,9858.36616,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9858.36616,9858.36616,9858.36616,9858.36616,9858.36616,1,40891.830799428244,40891.830799428244,40891.830799428244,40891.830799428244,40891.830799428244,1,249.0,249,249,249,249,1,225.0,225,225,225,225,1,45.0,45,45,45,45,1,135.0,135.0,135.0,135.0,135.0,1,12.0,12,12,12,12,1,3255.817615,3255.817615,3255.817615,3255.817615,3255.817615,1,70.0,70,70,70,70,1,8178.366159885649,8178.366159885649,8178.366159885649,8178.366159885649,8178.366159885649,1,1245.0,1245.0,1245.0,1245.0,1245.0,1,180.0,180.0,180.0,180.0,180.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7991931999567896,1.7991931999567896,1.7991931999567896,1.7991931999567896,1.7991931999567896
development,calibrated,smoothed_joint,__design_mixture__,combined_cover,1,1,0,0,9382.735519,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9382.735519,9382.735519,9382.735519,9382.735519,9382.735519,1,35243.67759987192,35243.67759987192,35243.67759987192,35243.67759987192,35243.67759987192,1,369.0,369,369,369,369,1,352.0,352,352,352,352,1,29.0,29,29,29,29,1,87.0,87.0,87.0,87.0,87.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7048.735519974383,7048.735519974383,7048.735519974383,7048.735519974383,7048.735519974383,1,1845.0,1845.0,1845.0,1845.0,1845.0,1,117.0,117.0,117.0,117.0,117.0,1,20.0,20.0,20.0,20.0,20.0,1,1.6187687000492588,1.6187687000492588,1.6187687000492588,1.6187687000492588,1.6187687000492588
development,calibrated,smoothed_joint,__design_mixture__,coverage,1,1,0,0,9554.814153,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9554.814153,9554.814153,9554.814153,9554.814153,9554.814153,1,35819.07076921131,35819.07076921131,35819.07076921131,35819.07076921131,35819.07076921131,1,369.0,369,369,369,369,1,352.0,352,352,352,352,1,48.0,48,48,48,48,1,144.0,144.0,144.0,144.0,144.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7163.8141538422615,7163.8141538422615,7163.8141538422615,7163.8141538422615,7163.8141538422615,1,1845.0,1845.0,1845.0,1845.0,1845.0,1,174.0,174.0,174.0,174.0,174.0,1,20.0,20.0,20.0,20.0,20.0,1,1.4771448000101373,1.4771448000101373,1.4771448000101373,1.4771448000101373,1.4771448000101373
development,calibrated,smoothed_joint,__design_mixture__,current,1,1,0,0,10617.547618,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10617.547618,10617.547618,10617.547618,10617.547618,10617.547618,1,39462.738088650905,39462.738088650905,39462.738088650905,39462.738088650905,39462.738088650905,1,429.0,429,429,429,429,1,404.0,404,404,404,404,1,42.0,42,42,42,42,1,126.0,126.0,126.0,126.0,126.0,1,7.0,7,7,7,7,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7892.547617730181,7892.547617730181,7892.547617730181,7892.547617730181,7892.547617730181,1,2145.0,2145.0,2145.0,2145.0,2145.0,1,156.0,156.0,156.0,156.0,156.0,1,20.0,20.0,20.0,20.0,20.0,1,1.375432400032878,1.375432400032878,1.375432400032878,1.375432400032878,1.375432400032878
development,calibrated,smoothed_joint,__design_mixture__,local_cover,1,1,0,0,10649.77334,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10649.77334,10649.77334,10649.77334,10649.77334,10649.77334,1,39548.866696811245,39548.866696811245,39548.866696811245,39548.866696811245,39548.866696811245,1,429.0,429,429,429,429,1,404.0,404,404,404,404,1,47.0,47,47,47,47,1,141.0,141.0,141.0,141.0,141.0,1,7.0,7,7,7,7,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7909.773339362249,7909.773339362249,7909.773339362249,7909.773339362249,7909.773339362249,1,2145.0,2145.0,2145.0,2145.0,2145.0,1,171.0,171.0,171.0,171.0,171.0,1,20.0,20.0,20.0,20.0,20.0,1,1.7583651000168175,1.7583651000168175,1.7583651000168175,1.7583651000168175,1.7583651000168175
development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,combined_cover,1,1,0,0,9382.735519,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9382.735519,9382.735519,9382.735519,9382.735519,9382.735519,1,35243.67759987192,35243.67759987192,35243.67759987192,35243.67759987192,35243.67759987192,1,369.0,369,369,369,369,1,352.0,352,352,352,352,1,29.0,29,29,29,29,1,87.0,87.0,87.0,87.0,87.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7048.735519974383,7048.735519974383,7048.735519974383,7048.735519974383,7048.735519974383,1,1845.0,1845.0,1845.0,1845.0,1845.0,1,117.0,117.0,117.0,117.0,117.0,1,20.0,20.0,20.0,20.0,20.0,1,1.6187687000492588,1.6187687000492588,1.6187687000492588,1.6187687000492588,1.6187687000492588
development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,coverage,1,1,0,0,9554.814153,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9554.814153,9554.814153,9554.814153,9554.814153,9554.814153,1,35819.07076921131,35819.07076921131,35819.07076921131,35819.07076921131,35819.07076921131,1,369.0,369,369,369,369,1,352.0,352,352,352,352,1,48.0,48,48,48,48,1,144.0,144.0,144.0,144.0,144.0,1,10.0,10,10,10,10,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7163.8141538422615,7163.8141538422615,7163.8141538422615,7163.8141538422615,7163.8141538422615,1,1845.0,1845.0,1845.0,1845.0,1845.0,1,174.0,174.0,174.0,174.0,174.0,1,20.0,20.0,20.0,20.0,20.0,1,1.4771448000101373,1.4771448000101373,1.4771448000101373,1.4771448000101373,1.4771448000101373
development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,current,1,1,0,0,10617.547618,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10617.547618,10617.547618,10617.547618,10617.547618,10617.547618,1,39462.738088650905,39462.738088650905,39462.738088650905,39462.738088650905,39462.738088650905,1,429.0,429,429,429,429,1,404.0,404,404,404,404,1,42.0,42,42,42,42,1,126.0,126.0,126.0,126.0,126.0,1,7.0,7,7,7,7,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7892.547617730181,7892.547617730181,7892.547617730181,7892.547617730181,7892.547617730181,1,2145.0,2145.0,2145.0,2145.0,2145.0,1,156.0,156.0,156.0,156.0,156.0,1,20.0,20.0,20.0,20.0,20.0,1,1.375432400032878,1.375432400032878,1.375432400032878,1.375432400032878,1.375432400032878
development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_cover,1,1,0,0,10649.77334,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,10649.77334,10649.77334,10649.77334,10649.77334,10649.77334,1,39548.866696811245,39548.866696811245,39548.866696811245,39548.866696811245,39548.866696811245,1,429.0,429,429,429,429,1,404.0,404,404,404,404,1,47.0,47,47,47,47,1,141.0,141.0,141.0,141.0,141.0,1,7.0,7,7,7,7,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7909.773339362249,7909.773339362249,7909.773339362249,7909.773339362249,7909.773339362249,1,2145.0,2145.0,2145.0,2145.0,2145.0,1,171.0,171.0,171.0,171.0,171.0,1,20.0,20.0,20.0,20.0,20.0,1,1.7583651000168175,1.7583651000168175,1.7583651000168175,1.7583651000168175,1.7583651000168175
development,stress,__pool_design__,__design_mixture__,combined_cover,2,2,0,0,8408.54427,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8408.54427,8408.54427,8561.109202,8580.179818499999,8599.250435,2,31567.721351585933,31567.721351585933,32562.546014347303,32686.89909719247,32811.25218003764,2,313.5,313.5,316.3,316.65,317,2,301.5,301.5,305.1,305.55,306,2,49.5,49.5,71.5,74.24999999999999,77,2,148.5,148.5,214.5,222.75,231.0,2,9.5,9.5,10.7,10.85,11,2,63.502629000000525,63.502629000000525,114.30473220000094,120.65499510000099,127.00525800000105,2,2.5,2.5,4.5,4.75,5,2,6313.544270317187,6313.544270317187,6512.50920286946,6537.379819438494,6562.250436007528,2,1567.5,1567.5,1581.5,1583.25,1585.0,2,195.0,195.0,259.8,267.9,276.0,2,31.0,31.0,31.8,31.9,32.0,2,1.9158257999806665,1.9158257999806665,1.9776515599223785,1.9853797799150925,1.9931079999078065
development,stress,__pool_design__,__design_mixture__,coverage,2,2,0,0,8456.931455999998,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8456.931455999998,8456.931455999998,8615.713494399999,8635.5612492,8655.409004,2,31682.157277899518,31682.157277899518,32702.067473758845,32829.556248241264,32957.04502272368,2,313.5,313.5,316.3,316.65,317,2,301.5,301.5,305.1,305.55,306,2,58.0,58.0,79.6,82.3,85,2,174.0,174.0,238.8,246.9,255.0,2,9.5,9.5,10.7,10.85,11,2,63.502628999999615,63.502628999999615,114.30473219999931,120.65499509999927,127.00525799999923,2,2.5,2.5,4.5,4.75,5,2,6336.431455579904,6336.431455579904,6540.41349475177,6565.911249648252,6591.409004544736,2,1567.5,1567.5,1581.5,1583.25,1585.0,2,220.5,220.5,284.1,292.05,300.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6748256499995477,1.6748256499995477,1.7715109699987805,1.783596634998685,1.7956822999985889
development,stress,__pool_design__,__design_mixture__,current,2,2,0,0,10710.1796495,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10710.1796495,10710.1796495,11360.1953267,11441.44728635,11522.699246,2,41643.39825139675,41643.39825139675,44539.47663055193,44901.48642794633,45263.49622534073,2,355.5,355.5,359.1,359.55,360,2,337.5,337.5,339.5,339.75,340,2,63.0,63.0,80.6,82.8,85,2,189.0,189.0,241.8,248.4,255.0,2,12.0,12.0,12.8,12.9,13,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,8328.679650279351,8328.679650279351,8907.895326110387,8980.297285589268,9052.699245068146,2,1777.5,1777.5,1795.5,1797.75,1800.0,2,235.5,235.5,287.1,293.55,300.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6094920499599539,1.6094920499599539,1.6299322499777191,1.6324872749799397,1.6350422999821603
development,stress,__pool_design__,__design_mixture__,local_cover,2,2,0,0,10648.638235999999,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10648.638235999999,10648.638235999999,11266.466900000001,11343.695483,11420.924066,2,41463.19119456758,41463.19119456758,44240.33450909237,44587.47742340797,44934.620337723565,2,355.5,355.5,359.1,359.55,360,2,337.5,337.5,339.5,339.75,340,2,54.5,54.5,69.3,71.14999999999999,73,2,163.5,163.5,207.89999999999998,213.45,219.0,2,12.0,12.0,12.8,12.9,13,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,8292.638238913516,8292.638238913516,8848.066901818473,8917.495484681593,8986.924067544713,2,1777.5,1777.5,1795.5,1797.75,1800.0,2,210.0,210.0,253.2,258.59999999999997,264.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6964825000613928,1.6964825000613928,1.743984580039978,1.7499223400373012,1.7558601000346243
development,stress,stress_design,__design_mixture__,combined_cover,2,2,0,0,8408.54427,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8408.54427,8408.54427,8561.109202,8580.179818499999,8599.250435,2,31567.721351585933,31567.721351585933,32562.546014347303,32686.89909719247,32811.25218003764,2,313.5,313.5,316.3,316.65,317,2,301.5,301.5,305.1,305.55,306,2,49.5,49.5,71.5,74.24999999999999,77,2,148.5,148.5,214.5,222.75,231.0,2,9.5,9.5,10.7,10.85,11,2,63.502629000000525,63.502629000000525,114.30473220000094,120.65499510000099,127.00525800000105,2,2.5,2.5,4.5,4.75,5,2,6313.544270317187,6313.544270317187,6512.50920286946,6537.379819438494,6562.250436007528,2,1567.5,1567.5,1581.5,1583.25,1585.0,2,195.0,195.0,259.8,267.9,276.0,2,31.0,31.0,31.8,31.9,32.0,2,1.9158257999806665,1.9158257999806665,1.9776515599223785,1.9853797799150925,1.9931079999078065
development,stress,stress_design,__design_mixture__,coverage,2,2,0,0,8456.931455999998,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8456.931455999998,8456.931455999998,8615.713494399999,8635.5612492,8655.409004,2,31682.157277899518,31682.157277899518,32702.067473758845,32829.556248241264,32957.04502272368,2,313.5,313.5,316.3,316.65,317,2,301.5,301.5,305.1,305.55,306,2,58.0,58.0,79.6,82.3,85,2,174.0,174.0,238.8,246.9,255.0,2,9.5,9.5,10.7,10.85,11,2,63.502628999999615,63.502628999999615,114.30473219999931,120.65499509999927,127.00525799999923,2,2.5,2.5,4.5,4.75,5,2,6336.431455579904,6336.431455579904,6540.41349475177,6565.911249648252,6591.409004544736,2,1567.5,1567.5,1581.5,1583.25,1585.0,2,220.5,220.5,284.1,292.05,300.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6748256499995477,1.6748256499995477,1.7715109699987805,1.783596634998685,1.7956822999985889
development,stress,stress_design,__design_mixture__,current,2,2,0,0,10710.1796495,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10710.1796495,10710.1796495,11360.1953267,11441.44728635,11522.699246,2,41643.39825139675,41643.39825139675,44539.47663055193,44901.48642794633,45263.49622534073,2,355.5,355.5,359.1,359.55,360,2,337.5,337.5,339.5,339.75,340,2,63.0,63.0,80.6,82.8,85,2,189.0,189.0,241.8,248.4,255.0,2,12.0,12.0,12.8,12.9,13,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,8328.679650279351,8328.679650279351,8907.895326110387,8980.297285589268,9052.699245068146,2,1777.5,1777.5,1795.5,1797.75,1800.0,2,235.5,235.5,287.1,293.55,300.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6094920499599539,1.6094920499599539,1.6299322499777191,1.6324872749799397,1.6350422999821603
development,stress,stress_design,__design_mixture__,local_cover,2,2,0,0,10648.638235999999,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10648.638235999999,10648.638235999999,11266.466900000001,11343.695483,11420.924066,2,41463.19119456758,41463.19119456758,44240.33450909237,44587.47742340797,44934.620337723565,2,355.5,355.5,359.1,359.55,360,2,337.5,337.5,339.5,339.75,340,2,54.5,54.5,69.3,71.14999999999999,73,2,163.5,163.5,207.89999999999998,213.45,219.0,2,12.0,12.0,12.8,12.9,13,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,8292.638238913516,8292.638238913516,8848.066901818473,8917.495484681593,8986.924067544713,2,1777.5,1777.5,1795.5,1797.75,1800.0,2,210.0,210.0,253.2,258.59999999999997,264.0,2,31.0,31.0,31.8,31.9,32.0,2,1.6964825000613928,1.6964825000613928,1.743984580039978,1.7499223400373012,1.7558601000346243
development,stress,stress_design,assumption__radius_min__noise_correlated__scale_75,combined_cover,1,1,0,0,8217.838105,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8217.838105,8217.838105,8217.838105,8217.838105,8217.838105,1,30324.190523134228,30324.190523134228,30324.190523134228,30324.190523134228,30324.190523134228,1,310.0,310,310,310,310,1,297.0,297,297,297,297,1,77.0,77,77,77,77,1,231.0,231.0,231.0,231.0,231.0,1,11.0,11,11,11,11,1,127.00525800000105,127.00525800000105,127.00525800000105,127.00525800000105,127.00525800000105,1,5.0,5,5,5,5,1,6064.838104626846,6064.838104626846,6064.838104626846,6064.838104626846,6064.838104626846,1,1550.0,1550.0,1550.0,1550.0,1550.0,1,276.0,276.0,276.0,276.0,276.0,1,30.0,30.0,30.0,30.0,30.0,1,1.8385436000535265,1.8385436000535265,1.8385436000535265,1.8385436000535265,1.8385436000535265
development,stress,stress_design,assumption__radius_min__noise_correlated__scale_75,coverage,1,1,0,0,8258.453908,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8258.453908,8258.453908,8258.453908,8258.453908,8258.453908,1,30407.26953307536,30407.26953307536,30407.26953307536,30407.26953307536,30407.26953307536,1,310.0,310,310,310,310,1,297.0,297,297,297,297,1,85.0,85,85,85,85,1,255.0,255.0,255.0,255.0,255.0,1,11.0,11,11,11,11,1,127.00525799999923,127.00525799999923,127.00525799999923,127.00525799999923,127.00525799999923,1,5.0,5,5,5,5,1,6081.453906615072,6081.453906615072,6081.453906615072,6081.453906615072,6081.453906615072,1,1550.0,1550.0,1550.0,1550.0,1550.0,1,300.0,300.0,300.0,300.0,300.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7956822999985889,1.7956822999985889,1.7956822999985889,1.7956822999985889,1.7956822999985889
development,stress,stress_design,assumption__radius_min__noise_correlated__scale_75,current,1,1,0,0,11522.699246,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,11522.699246,11522.699246,11522.699246,11522.699246,11522.699246,1,45263.49622534073,45263.49622534073,45263.49622534073,45263.49622534073,45263.49622534073,1,360.0,360,360,360,360,1,340.0,340,340,340,340,1,85.0,85,85,85,85,1,255.0,255.0,255.0,255.0,255.0,1,13.0,13,13,13,13,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,9052.699245068146,9052.699245068146,9052.699245068146,9052.699245068146,9052.699245068146,1,1800.0,1800.0,1800.0,1800.0,1800.0,1,300.0,300.0,300.0,300.0,300.0,1,30.0,30.0,30.0,30.0,30.0,1,1.6350422999821603,1.6350422999821603,1.6350422999821603,1.6350422999821603,1.6350422999821603
development,stress,stress_design,assumption__radius_min__noise_correlated__scale_75,local_cover,1,1,0,0,11420.924066,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,11420.924066,11420.924066,11420.924066,11420.924066,11420.924066,1,44934.620337723565,44934.620337723565,44934.620337723565,44934.620337723565,44934.620337723565,1,360.0,360,360,360,360,1,340.0,340,340,340,340,1,73.0,73,73,73,73,1,219.0,219.0,219.0,219.0,219.0,1,13.0,13,13,13,13,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,8986.924067544713,8986.924067544713,8986.924067544713,8986.924067544713,8986.924067544713,1,1800.0,1800.0,1800.0,1800.0,1800.0,1,264.0,264.0,264.0,264.0,264.0,1,30.0,30.0,30.0,30.0,30.0,1,1.7558601000346243,1.7558601000346243,1.7558601000346243,1.7558601000346243,1.7558601000346243
development,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,combined_cover,1,1,0,0,8599.250435,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8599.250435,8599.250435,8599.250435,8599.250435,8599.250435,1,32811.25218003764,32811.25218003764,32811.25218003764,32811.25218003764,32811.25218003764,1,317.0,317,317,317,317,1,306.0,306,306,306,306,1,22.0,22,22,22,22,1,66.0,66.0,66.0,66.0,66.0,1,8.0,8,8,8,8,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,6562.250436007528,6562.250436007528,6562.250436007528,6562.250436007528,6562.250436007528,1,1585.0,1585.0,1585.0,1585.0,1585.0,1,114.0,114.0,114.0,114.0,114.0,1,32.0,32.0,32.0,32.0,32.0,1,1.9931079999078065,1.9931079999078065,1.9931079999078065,1.9931079999078065,1.9931079999078065
development,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,coverage,1,1,0,0,8655.409004,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,8655.409004,8655.409004,8655.409004,8655.409004,8655.409004,1,32957.04502272368,32957.04502272368,32957.04502272368,32957.04502272368,32957.04502272368,1,317.0,317,317,317,317,1,306.0,306,306,306,306,1,31.0,31,31,31,31,1,93.0,93.0,93.0,93.0,93.0,1,8.0,8,8,8,8,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,6591.409004544736,6591.409004544736,6591.409004544736,6591.409004544736,6591.409004544736,1,1585.0,1585.0,1585.0,1585.0,1585.0,1,141.0,141.0,141.0,141.0,141.0,1,32.0,32.0,32.0,32.0,32.0,1,1.5539690000005066,1.5539690000005066,1.5539690000005066,1.5539690000005066,1.5539690000005066
development,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,current,1,1,0,0,9897.660053,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9897.660053,9897.660053,9897.660053,9897.660053,9897.660053,1,38023.30027745277,38023.30027745277,38023.30027745277,38023.30027745277,38023.30027745277,1,351.0,351,351,351,351,1,335.0,335,335,335,335,1,41.0,41,41,41,41,1,123.0,123.0,123.0,123.0,123.0,1,11.0,11,11,11,11,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7604.660055490554,7604.660055490554,7604.660055490554,7604.660055490554,7604.660055490554,1,1755.0,1755.0,1755.0,1755.0,1755.0,1,171.0,171.0,171.0,171.0,171.0,1,32.0,32.0,32.0,32.0,32.0,1,1.5839417999377474,1.5839417999377474,1.5839417999377474,1.5839417999377474,1.5839417999377474
development,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,local_cover,1,1,0,0,9876.352406,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9876.352406,9876.352406,9876.352406,9876.352406,9876.352406,1,37991.76205141159,37991.76205141159,37991.76205141159,37991.76205141159,37991.76205141159,1,351.0,351,351,351,351,1,335.0,335,335,335,335,1,36.0,36,36,36,36,1,108.0,108.0,108.0,108.0,108.0,1,11.0,11,11,11,11,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7598.3524102823185,7598.3524102823185,7598.3524102823185,7598.3524102823185,7598.3524102823185,1,1755.0,1755.0,1755.0,1755.0,1755.0,1,156.0,156.0,156.0,156.0,156.0,1,32.0,32.0,32.0,32.0,32.0,1,1.6371049000881612,1.6371049000881612,1.6371049000881612,1.6371049000881612,1.6371049000881612
