case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-confirmation-round-broad-p4-0168-de784b5baac6afb5,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1439.0657680000004,-1439.0657680000004,13.260887045935291,10851.95706,9412.891292,-5240.328852746774,-35,-62,-186.0,0,-1048.065770549354,-175.0,-30.0,-186.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0168-de784b5baac6afb5,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1130.377485000001,-1130.377485000001,10.416346828043944,10851.95706,9721.579575,-4086.8874396988103,-35,-36,-108.0,0,-817.3774879397615,-175.0,-30.0,-108.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0169-0619686bf7d4ccaa,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-194.7143019999985,-194.7143019999985,1.9739232863769511,9864.329751,9669.615449,-1243.5715138856685,-39,94,282.0,0,-248.71430277713444,-195.0,-33.0,282.0,0.0,-1244.3157679999986
p4-refinement-confirmation-round-broad-p4-0169-0619686bf7d4ccaa,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-186.59930299999905,-186.59930299999905,1.8916571902017214,9864.329751,9677.730448,-842.9965267969383,-39,70,210.0,0,-168.59930535938838,-195.0,-33.0,210.0,0.0,-1244.3157679999986
p4-refinement-confirmation-round-broad-p4-0170-a05f7789589abcaf,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2586.366748999999,-2586.366748999999,22.9936772903549,11248.164947,8661.798198,-10686.833727109683,-72,-8,-24.0,3,-2137.366745421936,-360.0,-65.0,-24.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0170-a05f7789589abcaf,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1821.9564539999992,-1821.9564539999992,16.19781059919408,11248.164947,9426.208493,-8184.782272523014,-72,80,240.0,3,-1636.9564545046023,-360.0,-65.0,240.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0171-c27611b21bf3714a,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1663.7767750000003,-1663.7767750000003,15.07635358217874,11035.670966,9371.894191,-7383.883875920481,-53,41,123.0,-2,-1476.7767751840966,-265.0,-45.0,123.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0171-c27611b21bf3714a,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2062.3363150000005,-2062.3363150000005,18.687910516305624,11035.670966,8973.334651,-8551.681567800966,-53,-14,-42.0,-2,-1710.336313560194,-265.0,-45.0,-42.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0172-1cdb8903285f2631,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1298.0417720000005,-1298.0417720000005,13.904524045625216,9335.391616,8037.349844,-5920.208862297295,-17,-6,-18.0,0,-1184.041772459459,-85.0,-11.0,-18.0,0.0,-689.5530500000004
p4-refinement-confirmation-round-broad-p4-0172-1cdb8903285f2631,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1321.8442970000006,-1321.8442970000006,14.159494870407809,9335.391616,8013.547319,-6024.221506763413,-17,-7,-21.0,0,-1204.8443013526821,-85.0,-11.0,-21.0,0.0,-689.5530500000004
p4-refinement-confirmation-round-broad-p4-0173-853f55f977e83645,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2323.4096640000007,-2323.4096640000007,21.344402794066543,10885.334607,8561.924943,-8842.048324397736,-70,-47,-141.0,1,-1768.4096648795476,-350.0,-64.0,-141.0,0.0,0.0
