partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
confirmation,stress,stress_design,assumption__radius_min__noise_deterministic__scale_300,coverage,6,6,0,0,9233.920383333334,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,9233.920383333334,9218.596402,9871.206826000001,10163.485307500001,10455.763789,6,33560.43525382772,33015.48201753523,37158.53413527633,38876.176538757376,40593.818942238424,6,365.3333333333333,366.0,386.0,391.5,397,6,349.6666666666667,350.5,369.5,374.75,380,6,96.0,106.0,127.5,131.75,136,6,288.0,318.0,382.5,395.25,408.0,6,8.333333333333334,8.0,10.5,11.25,12,6,252.34800983333344,0.0,757.0440295000003,805.2465127500002,853.4489960000001,6,11.166666666666666,0.0,33.5,36.75,40,6,6712.087050765545,6603.096403507046,7431.706827055265,7775.2353077514745,8118.763788447684,6,1826.6666666666667,1830.0,1930.0,1957.5,1985.0,6,322.5,360.0,414.0,427.5,441.0,6,23.0,21.0,28.0,30.0,32.0,6,3.4177042833374194,3.4812586500192992,3.5777245000354014,3.588664100068854,3.599603700102307
confirmation,stress,stress_design,assumption__radius_min__noise_deterministic__scale_300,current,6,6,0,0,10292.2487165,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,10292.2487165,10198.781310999999,10709.2188445,10849.32877525,10989.438706,6,37853.74358626562,37308.02284641291,40300.15875559322,40903.67614031222,41507.19352503122,6,420.3333333333333,428.0,459.5,465.75,472,6,398.8333333333333,406.0,437.5,443.75,450,6,54.5,55.0,79.0,86.0,93,6,163.5,165.0,237.0,258.0,279.0,6,8.666666666666666,8.0,10.5,11.25,12,6,418.0335678333334,0.0,1254.1007035000002,1254.1964737500002,1254.2922440000002,6,15.0,0.0,45.0,47.5,50,6,7570.748717253125,7461.604569282582,8060.031751118645,8180.7352280624455,8301.438705006245,6,2101.6666666666665,2140.0,2297.5,2328.75,2360.0,6,198.0,195.0,277.5,302.25,327.0,6,23.0,21.0,28.0,30.0,32.0,6,3.0997638333550035,3.09454530000221,3.5143069500336424,3.56412077503046,3.613934600027278
confirmation,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,combined_cover,6,6,0,0,9382.701802833333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,9382.701802833333,9164.124792,10339.591701000001,10371.1784645,10402.765228,6,35285.175678289284,34085.623954152325,39217.95850363952,39733.39232070581,40248.8261377721,6,341.1666666666667,337.0,364.0,368.0,372,6,327.1666666666667,325.0,348.5,352.25,356,6,75.33333333333333,59.0,141.5,146.25,151,6,226.0,177.0,424.5,438.75,453.0,6,9.833333333333334,9.5,12.5,13.25,14,6,34.765344166666786,0.0,104.29603250000036,156.44404875000055,208.59206500000073,6,0.8333333333333334,0.0,2.5,3.75,5,6,7057.035135657857,6817.124790830464,7843.591700727904,7946.678464141161,8049.76522755442,6,1705.8333333333333,1685.0,1820.0,1840.0,1860.0,6,266.0,214.5,468.0,480.0,492.0,6,26.666666666666668,26.0,31.0,31.5,32.0,6,4.028989633312449,3.946809699991718,4.615867399959825,4.733110549976118,4.850353699992411
confirmation,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,coverage,6,6,0,0,9346.905991333333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,9346.905991333333,9504.937096,9783.8604065,9848.10635025,9912.352294,6,35216.19662725564,35189.68547593248,37571.80204211462,37716.82232488361,37861.842607652594,6,341.1666666666667,337.0,364.0,368.0,372,6,327.1666666666667,325.0,348.5,352.25,356,6,68.0,70.0,97.5,101.25,105,6,204.0,210.0,292.5,303.75,315.0,6,9.833333333333334,9.5,12.5,13.25,14,6,34.76534416666649,0.0,104.29603249999946,156.44404874999918,208.5920649999989,6,0.8333333333333334,0.0,2.5,3.75,5,6,7043.239325451126,7037.937095186495,7514.360408422925,7543.364464976721,7572.368521530519,6,1705.8333333333333,1685.0,1820.0,1840.0,1860.0,6,244.0,252.0,327.0,336.0,345.0,6,26.666666666666668,26.0,31.0,31.5,32.0,6,3.3865747166952738,3.3445299000595696,3.743749650020618,3.744658375013387,3.7455671000061557
confirmation,stress,stress_design,assumption__radius_min__noise_deterministic__scale_75,current,6,6,0,0,10579.962849666666,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,10579.962849666666,10662.07373,11148.689469,11231.2368305,11313.784192,6,39818.98091804739,39711.535147972594,42834.78084196783,43131.85089943978,43428.92095691172,6,399.0,390.0,435.5,442.25,449,6,378.5,369.5,413.5,420.75,428,6,58.666666666666664,53.0,91.0,105.0,119,6,176.0,159.0,273.0,315.0,357.0,6,9.0,8.5,10.5,10.75,11,6,203.99696999999983,0.0,611.9909099999995,917.9863649999993,1223.981819999999,6,5.833333333333333,0.0,17.5,26.25,35,6,7963.796183609477,7942.307029594518,8566.956168393566,8626.370179887956,8685.784191382345,6,1995.0,1950.0,2177.5,2211.25,2245.0,6,216.0,198.0,315.0,358.5,402.0,6,26.666666666666668,26.0,31.0,31.5,32.0,6,3.3500960333428034,3.4231037499848753,3.7330027500283904,3.832768175023375,3.9325336000183597
confirmation,stress,stress_design,assumption__radius_min__noise_extreme__scale_150,combined_cover,6,6,0,0,8688.381795333333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,8688.381795333333,8147.06719,10094.157695000002,10334.7917985,10575.425902,6,35599.40898096258,34831.941467195225,39683.28846869187,40240.20898360924,40797.12949852661,6,220.33333333333334,214.5,270.5,272.75,275,6,199.5,193.5,250.0,252.0,254,6,66.33333333333333,23.0,165.0,204.5,244,6,199.0,69.0,495.0,613.5,732.0,6,9.0,9.5,12.0,12.0,12,6,591.7266793333333,0.0,1775.180038,1827.6421585,1880.1042790000001,6,16.0,0.0,48.0,52.0,56,6,7119.881796192515,6966.388293439046,7936.657693738374,8048.041796721847,8159.425899705321,6,1101.6666666666667,1072.5,1352.5,1363.75,1375.0,6,240.0,114.0,531.0,648.0,765.0,6,27.333333333333332,27.0,31.0,31.5,32.0,6,4.064958050032146,3.9455143500235863,4.945572000055108,4.964039200072875,4.982506400090642
confirmation,stress,stress_design,assumption__radius_min__noise_extreme__scale_150,coverage,6,6,0,0,8934.3772275,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,8934.3772275,8616.7339395,10355.608378500001,10890.71234375,11425.816309,6,36469.386137328715,36189.33571804958,40912.37586636077,42418.22870415158,43924.081541942396,6,220.33333333333334,214.5,270.5,272.75,275,6,199.5,193.5,250.0,252.0,254,6,90.33333333333333,36.0,223.0,271.0,319,6,271.0,108.0,669.0,813.0,957.0,6,8.833333333333334,9.0,12.0,12.0,12,6,592.260152,0.0,1776.780456,1829.3502705000003,1881.9200850000007,6,16.0,0.0,48.0,52.0,56,6,7293.877227465743,7237.867143609916,8182.475173272155,8483.645740830318,8784.81630838848,6,1101.6666666666667,1072.5,1352.5,1363.75,1375.0,6,312.0,150.0,709.5,849.75,990.0,6,27.333333333333332,27.0,31.0,31.5,32.0,6,3.571224116642649,3.5437181999441236,4.0054679999593645,4.13906199997291,4.272655999986455
confirmation,stress,stress_design,assumption__radius_min__noise_extreme__scale_150,current,6,6,0,0,9852.8345005,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,9852.8345005,9933.883315,10285.233626500001,10396.142000750002,10507.050375,6,40625.00583703518,40656.90256102978,42748.68214422981,43017.8832619039,43287.08437957799,6,259.1666666666667,259.0,302.0,318.0,334,6,232.66666666666666,233.0,275.0,291.0,307,6,43.666666666666664,28.0,88.5,106.75,125,6,131.0,84.0,265.5,320.25,375.0,6,9.333333333333334,10.0,12.5,12.75,13,6,1388.2058121666669,677.3349010000002,3487.2825355,3544.1890617499994,3601.095587999999,6,41.333333333333336,22.5,101.5,103.25,105,6,8125.001167407037,8131.3805122059575,8549.736428845963,8603.57665238078,8657.416875915598,6,1295.8333333333333,1295.0,1510.0,1590.0,1670.0,6,172.0,127.5,304.5,356.25,408.0,6,27.333333333333332,27.0,31.0,31.5,32.0,6,3.4316790499918475,3.3601731000235304,3.769059349957388,3.781206024956191,3.793352699954994
confirmation,stress,stress_design,assumption__radius_min__noise_extreme__scale_300,combined_cover,6,6,0,0,8261.796023166668,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,8261.796023166668,8454.1771315,9240.2037505,9537.10317575,9834.002601,6,33988.14678662684,34552.191332693765,37484.7130796614,38882.36304203344,40280.01300440548,6,212.83333333333334,213.0,255.0,263.5,272,6,192.83333333333334,191.5,234.5,243.25,252,6,45.166666666666664,39.5,87.5,92.25,97,6,135.5,118.5,262.5,276.75,291.0,6,7.833333333333333,8.0,11.5,13.25,15,6,846.063279166667,696.3870575000001,1841.802780000001,1902.2229435000008,1962.6431070000008,6,23.0,18.0,51.0,52.5,54,6,6797.629357325369,6910.438266538754,7496.94261593228,7776.472608406688,8056.002600881096,6,1064.1666666666667,1065.0,1275.0,1317.5,1360.0,6,178.5,157.5,307.5,323.25,339.0,6,28.666666666666668,28.0,32.0,32.0,32.0,6,3.6855567666352727,3.7442779999691993,4.060991299978923,4.096267849992728,4.131544400006533
confirmation,stress,stress_design,assumption__radius_min__noise_extreme__scale_300,coverage,6,6,0,0,8309.670471833333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,6,8309.670471833333,8558.6903345,9101.3248525,9220.24268525,9339.160518,6,34245.019028752366,34815.95166470876,37394.12426596678,38072.4634288699,38750.80259177303,6,212.83333333333334,213.0,255.0,263.5,272,6,192.83333333333334,191.5,234.5,243.25,252,6,44.0,40.0,75.0,84.5,94,6,132.0,120.0,225.0,253.5,282.0,6,7.833333333333333,8.0,11.5,12.75,14,6,846.2764390000001,696.3870575000005,1842.4422594999996,1903.86005975,1965.2778600000001,6,23.0,18.0,51.0,52.5,54,6,6849.003805750473,6963.190332941753,7478.824853193355,7614.49268577398,7750.160518354605,6,1064.1666666666667,1065.0,1275.0,1317.5,1360.0,6,175.0,168.0,267.0,295.5,324.0,6,28.666666666666668,28.0,32.0,32.0,32.0,6,3.2987483833373212,3.3333590499823913,3.5801455499604344,3.6267775749438442,3.673409599927254
