model_candidate,problem,protocol,n_cases,complete_cases,hull_invariant_violations,total_virtual_time_s_mean,failure_penalized_time_s_mean,program_real_time_s_mean,model_comparison_status
smoothed_joint__radius_mixed__noise_deterministic,3,baseline,2,2,0,4904.130776,4904.130776,1.2580053500714712,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,3,survey,1,1,0,13762.207982,13762.207982,1.4244424999924377,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,baseline,2,2,0,10478.430031,10478.430031,2.032666299957782,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,survey,1,1,0,17875.747148,17875.747148,1.239579200046137,not_yet_checked_against_official_observables
