case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
round-calibrated-p3-0116-4bc96b4a1e52a4c3,3,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-969.7630910000007,-969.7630910000007,16.477635145878086,5885.329311,4915.56622
round-calibrated-p3-0120-d9aab0b02e36d34e,3,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-669.5681910000003,-669.5681910000003,14.931391492353846,4484.298676,3814.730485
round-calibrated-p3-0121-0a355dd5d5bdb1e3,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-599.887041,-599.887041,11.321333500955093,5298.731293,4698.844252
round-calibrated-p3-0124-74623875279ba88d,3,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-177.28473099999974,-177.28473099999974,4.127939081776418,4294.75163,4117.466899
round-calibrated-p3-0130-610ee988360eaea9,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-596.4797410000001,-596.4797410000001,12.53710369145365,4757.715623,4161.235882
round-calibrated-p3-0147-1faaf8137b207574,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-237.75712699999985,-237.75712699999985,5.176046122992904,4593.412063,4355.654936
round-calibrated-p3-0149-40f6649a3d8c9e87,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-577.7076820000007,-577.7076820000007,12.795786630699986,4514.827409,3937.119727
round-calibrated-p3-0150-6507e9c43f04f234,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-112.9312130000003,-112.9312130000003,2.878251032645517,3923.605402,3810.674189
round-calibrated-p3-0151-7d4e1b1a720a359f,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-242.44133799999963,-242.44133799999963,4.555791696852708,5321.607179,5079.165841
round-calibrated-p3-0152-a1667fd06200650b,3,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-573.9815209999997,-573.9815209999997,12.111026953526723,4739.329895,4165.348374
round-calibrated-p3-0162-e58e1c47ee1323af,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-196.03947199999948,-196.03947199999948,3.9245161244061775,4995.252046,4799.212574
round-calibrated-p3-0163-7aa109c20dbc4876,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-798.8904549999997,-798.8904549999997,13.834945917546696,5774.438583,4975.548128
round-calibrated-p3-0166-75492d81c1f002df,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-252.03222300000016,-252.03222300000016,4.9257171901020005,5116.660443,4864.62822
round-calibrated-p3-0173-a972156a0934a45c,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-586.4136939999999,-586.4136939999999,14.43144683497471,4063.443539,3477.029845
round-calibrated-p3-0174-084d9665389efe74,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-705.0236420000001,-705.0236420000001,12.116657363869265,5818.631499,5113.607857
round-calibrated-p3-0178-3b2c4fab315890aa,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-456.92988700000024,-456.92988700000024,8.613742636089235,5304.661473,4847.731586
