pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-939.876233,-1128.556888,-789.2642939999996,3,-939.876233,-901.8075170000002,0.0,-789.2642939999996,15.903243677829247,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1128.556888,-789.2642939999996
broad,3,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-939.876233,-1128.556888,-789.2642939999996,3,-939.876233,-901.8075170000002,0.0,-789.2642939999996,15.903243677829247,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1128.556888,-789.2642939999996
broad,3,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-939.876233,-1128.556888,-789.2642939999996,3,-939.876233,-901.8075170000002,0.0,-789.2642939999996,15.903243677829247,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1128.556888,-789.2642939999996
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-658.4871539999999,-764.4881070000001,-552.4862009999997,2,-658.4871539999999,-658.4871539999999,0.0,-552.4862009999997,12.868241202927425,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-764.4881070000001,-552.4862009999997
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-658.4871539999999,-764.4881070000001,-552.4862009999997,2,-658.4871539999999,-658.4871539999999,0.0,-552.4862009999997,12.868241202927425,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-764.4881070000001,-552.4862009999997
broad,3,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-658.4871539999999,-764.4881070000001,-552.4862009999997,2,-658.4871539999999,-658.4871539999999,0.0,-552.4862009999997,12.868241202927425,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-764.4881070000001,-552.4862009999997
broad,3,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-658.4871539999999,-764.4881070000001,-552.4862009999997,2,-658.4871539999999,-658.4871539999999,0.0,-552.4862009999997,12.868241202927425,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-764.4881070000001,-552.4862009999997
broad,3,broad_joint,all,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-1104.0238280000003,,,1,-1104.0238280000003,-1104.0238280000003,0.0,-1104.0238280000003,16.548377810179158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-1104.0238280000003,,,1,-1104.0238280000003,-1104.0238280000003,0.0,-1104.0238280000003,16.548377810179158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-1104.0238280000003,,,1,-1104.0238280000003,-1104.0238280000003,0.0,-1104.0238280000003,16.548377810179158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
